subscription_id,account_id,start_date,end_date,plan_tier,seats,mrr_amount,arr_amount,is_trial,upgrade_flag,downgrade_flag,churn_flag,billing_frequency,auto_renew_flag,messiness_description
S-000016,A-2bc93d,2024-03-26,,Basic,95,1805.0,21660.0,False,False,False,False,monthly,True,no_issue
S-000017,A-524364,2024-12-31,,Pro,11,539.0,,False,False,False,False,monthly,True,null_arr_amount
S-000018,A-59f724,2024-08-24,,Basic,3,0.0,0.0,True,False,False,False,monthly,False,no_issue
S-374be8,A-b7ef83,2024-06-12,,Basic,23,437.0,,False,False,False,False,annual,False,null_arr_amount
S-000019,A-ba6516,2024-05-10,,Basic,27,0.0,0.0,True,False,False,False,annual,True,no_issue
S-00001a,A-751c58,2024-10-11,,Pro,45,2205.0,26460.0,False,True,False,False,monthly,True,no_issue
S-c75159,A-bcf87c,2024-08-22,2024-09-28,Enterprise,31,6169.0,74028.0,False,False,False,True,monthly,True,no_issue
S-00001b,A-e6afc1,2024-08-30,,Pro,2,98.0,1176.0,False,False,False,False,annual,True,no_issue
S-00001c,A-ed510f,2024-04-09,,Enterprise,42,8358.0,100296.0,False,False,False,False,annual,True,no_issue
S-00001d,A-9bfc9f,2024-01-01,,Basic,53,1007.0,12084.0,False,True,False,False,monthly,True,no_issue
S-9b8167,A-054577,2024-05-08,,Pro,29,1421.0,17052.0,False,False,False,False,monthly,True,no_issue
S-00001e,A-b07b56,2024-11-20,,Pro,25,1225.0,14700.0,False,False,False,False,annual,True,no_issue
S-00001f,A-625d0b,2024-11-22,,Pro,9,441.0,5292.0,False,False,False,False,annual,True,no_issue
S-000020,A-700ade,2024-11-25,,Basic,7,133.0,1596.0,False,False,False,False,annual,True,no_issue
S-000021,A-acb7f7,2024-02-16,,Enterprise,32,6368.0,76416.0,False,False,False,False,annual,True,no_issue
S-000022,A-f03140,2024-07-17,,,27,5373.0,64476.0,False,False,True,False,monthly,True,null_plan_tier
S-000023,A-956988,2024-12-05,,Enterprise,55,10945.0,131340.0,False,False,False,False,annual,True,no_issue
S-000024,A-3932db,2023-12-10,,Basic,23,437.0,5244.0,False,False,False,False,monthly,True,no_issue
S-000025,A-241e75,2024-09-08,,Basic,14,266.0,3192.0,False,False,False,True,annual,True,flipped_churn_flag
S-396546,A-832ec2,2024-02-02,,Enterprise,19,3781.0,45372.0,False,False,False,False,monthly,False,no_issue
S-ea4844,A-c16b88,2024-06-03,,Pro,23,1127.0,13524.0,False,False,False,False,monthly,True,no_issue
S-431c03,A-e4bf56,2024-12-02,2024-12-19,Enterprise,37,7363.0,88356.0,False,False,False,True,monthly,True,no_issue
S-000026,A-075038,2023-11-30,,Pro,23,0.0,0.0,True,True,False,False,monthly,True,no_issue
S-000027,A-55f257,2024-08-19,,Enterprise,21,4179.0,50148.0,False,False,False,False,monthly,False,no_issue
S-000028,A-b48f73,2024-12-06,,Enterprise,80,0.0,0.0,True,False,False,False,annual,True,no_issue
S-000029,A-39ddf4,2024-12-21,,Pro,40,1960.0,23520.0,False,False,False,False,monthly,True,no_issue
S-00002a,A-54d94a,2024-02-24,,Pro,27,1323.0,15876.0,False,False,True,True,monthly,True,null_end_date; flipped_churn_flag
S-5aa854,A-328bd0,2024-04-29,,Pro,18,882.0,10584.0,False,False,False,False,annual,True,no_issue
S-00002b,A-aa9511,2024-02-09,,Enterprise,97,19303.0,231636.0,False,False,False,False,annual,True,no_issue
S-00002c,A-0aaf6e,2024-12-26,,Enterprise,18,3582.0,42984.0,False,False,False,False,monthly,True,no_issue
S-ab0f4c,A-cd458b,2024-12-06,,Basic,25,475.0,5700.0,False,False,False,False,monthly,False,no_issue
S-00002d,A-832ec2,2024-04-07,,Basic,12,228.0,2736.0,False,False,False,False,monthly,False,no_issue
S-d538f6,A-d535f6,2024-12-15,,Enterprise,12,0.0,0.0,True,False,True,False,monthly,True,null_end_date
S-1a04fe,A-4e631b,2024-05-13,,Enterprise,22,4378.0,52536.0,False,True,False,False,annual,True,no_issue
S-9bd0ec,A-fe79a5,2024-12-26,,Enterprise,9,1791.0,21492.0,False,False,False,False,annual,True,null_end_date
S-00002e,A-eafc6e,2024-09-01,,Pro,27,1323.0,15876.0,False,False,False,False,monthly,True,no_issue
S-2573e4,A-7f8241,2024-01-25,,,60,1140.0,13680.0,False,False,False,False,monthly,True,null_plan_tier
S-695c1e,A-ce66f8,2024-07-02,,Enterprise,37,7363.0,88356.0,False,False,False,True,monthly,True,flipped_churn_flag
S-00002f,A-ff79f2,2024-07-28,,Pro,10,490.0,5880.0,False,False,False,False,monthly,False,no_issue
S-127844,A-f446b6,2024-02-11,,Enterprise,7,1393.0,16716.0,False,False,False,False,monthly,True,no_issue
S-016b5f,A-977ca0,2024-04-08,,Enterprise,6,0.0,0.0,True,False,False,False,monthly,True,no_issue
S-519f1c,A-0354fe,2024-11-03,,Basic,34,646.0,7752.0,False,False,False,False,monthly,False,no_issue
S-5178de,A-e61e98,2023-12-06,,Pro,40,1960.0,23520.0,False,False,False,False,annual,False,no_issue
S-6b534f,A-08e34e,2024-12-31,,Enterprise,14,2786.0,33432.0,False,False,False,False,monthly,True,no_issue
S-000030,A-8e47ca,2024-04-29,,Enterprise,19,3781.0,45372.0,False,False,False,False,monthly,False,no_issue
S-000031,A-55f257,2024-01-18,,Pro,9,441.0,5292.0,False,False,False,False,monthly,False,no_issue
S-e371b7,A-310452,2024-12-28,,Enterprise,50,9950.0,119400.0,False,False,False,False,monthly,True,no_issue
S-000032,A-0532a9,2024-09-26,,Basic,19,361.0,4332.0,False,False,False,False,annual,True,no_issue
S-dcc084,A-526d93,2024-10-01,,Basic,43,,9804.0,False,False,False,False,monthly,True,null_mrr_amount
S-000033,A-432483,2023-12-13,,Enterprise,60,11940.0,143280.0,False,False,False,False,monthly,False,no_issue
S-6904e6,A-39b19f,2023-02-23,,Pro,16,784.0,9408.0,False,False,False,False,monthly,True,no_issue
S-000034,A-6da850,2024-08-05,,Basic,18,0.0,0.0,True,True,False,False,monthly,True,no_issue
S-000035,A-cc102e,2024-11-06,,Pro,13,,7644.0,False,False,False,False,monthly,False,null_mrr_amount
S-000036,A-54ecc2,2023-11-26,,Basic,4,76.0,912.0,False,False,False,False,annual,True,null_end_date
S-c62bb7,A-0a62f5,2024-09-16,,Enterprise,16,3184.0,38208.0,False,False,False,False,monthly,True,no_issue
S-000037,A-f19409,2024-12-20,,Basic,35,665.0,7980.0,False,False,False,False,annual,False,no_issue
S-000038,A-54ecc2,2024-10-30,,,28,5572.0,66864.0,False,False,False,False,monthly,True,null_plan_tier
S-199697,A-bcf664,2024-11-11,,Enterprise,7,1393.0,16716.0,False,False,False,False,annual,True,no_issue
S-e98296,A-6f8ad2,2024-10-22,,Pro,16,784.0,9408.0,False,False,True,False,monthly,True,no_issue
S-000039,A-0b0d6d,2024-12-30,,Enterprise,36,7164.0,85968.0,False,False,False,False,annual,True,no_issue
S-00003a,A-7e0a10,2024-12-30,,Enterprise,70,13930.0,167160.0,False,False,False,False,annual,True,no_issue
S-00003b,A-2e4581,2024-12-22,,Basic,44,836.0,10032.0,False,False,False,False,monthly,True,null_end_date
S-00003c,A-c42f1f,2024-11-13,,Basic,28,,6384.0,False,False,False,False,annual,True,null_mrr_amount
S-00003d,A-855a48,2024-05-08,,Basic,14,266.0,3192.0,False,False,False,False,monthly,False,no_issue
S-00003e,A-e89151,2024-05-23,,,8,152.0,1824.0,False,True,False,False,monthly,True,null_plan_tier
S-1a5fa7,A-1f559b,2024-02-27,,Enterprise,26,5174.0,62088.0,False,False,False,False,annual,False,null_end_date
S-00003f,A-544d0a,2024-12-07,,Basic,2,38.0,456.0,False,False,False,False,monthly,True,no_issue
S-000040,A-bb1eaa,2024-07-28,,Basic,21,399.0,4788.0,False,False,False,False,monthly,True,no_issue
S-a68f4f,A-2ebb4b,2023-06-04,,Basic,41,0.0,0.0,True,False,False,False,monthly,True,no_issue
S-000041,A-bb1eaa,2024-12-12,,Pro,25,1225.0,14700.0,False,False,False,False,annual,True,no_issue
S-000042,A-0532a9,2024-11-26,,Pro,21,1029.0,12348.0,False,True,False,True,monthly,False,flipped_churn_flag
S-000043,A-bf7919,2024-12-21,,Pro,15,735.0,8820.0,False,False,False,False,annual,True,null_end_date; flipped_churn_flag
S-000044,A-30b4ca,2024-05-24,,Enterprise,86,17114.0,205368.0,False,False,False,False,annual,True,no_issue
S-000045,A-462d45,2024-01-16,2024-05-29,Basic,89,1691.0,,False,False,False,False,annual,False,null_arr_amount; flipped_churn_flag
S-000046,A-09316c,2024-11-27,,Pro,70,3430.0,41160.0,False,False,False,False,annual,True,no_issue
S-000047,A-de24d5,2024-12-09,2024-12-21,,77,3773.0,45276.0,False,False,False,True,annual,True,null_plan_tier
S-000048,A-2d4502,2024-09-04,,,22,4378.0,52536.0,False,False,False,False,monthly,True,null_plan_tier
S-bdf8bf,A-cdf020,2023-12-01,2024-09-23,Pro,31,,18228.0,False,False,False,False,monthly,True,null_mrr_amount; flipped_churn_flag
S-000049,A-dfbd31,2023-12-31,,Enterprise,24,0.0,0.0,True,False,False,False,monthly,True,no_issue
S-00004a,A-bb2f49,2024-06-15,,Pro,35,1715.0,20580.0,False,False,False,False,annual,True,no_issue
S-00004b,A-2bc93d,2023-07-19,,Enterprise,14,2786.0,33432.0,False,False,False,False,annual,True,no_issue
S-b01b1c,A-76fa4d,2024-12-24,,Pro,69,3381.0,40572.0,False,False,False,False,monthly,True,no_issue
S-00004c,A-7c4956,2024-08-14,,Enterprise,6,1194.0,14328.0,False,False,False,False,annual,True,no_issue
S-00004d,A-856b1e,2023-12-17,,Pro,30,1470.0,17640.0,False,False,False,False,monthly,True,no_issue
S-00004e,A-034368,2024-11-29,,Basic,29,551.0,6612.0,False,False,False,False,monthly,False,null_end_date
S-00004f,A-f97b9a,2024-06-19,,Enterprise,16,3184.0,38208.0,False,False,False,False,annual,True,no_issue
S-000050,A-94f8c9,2024-12-17,,Enterprise,36,7164.0,85968.0,False,False,False,False,annual,True,no_issue
S-000051,A-ff3c73,2023-04-08,,Basic,66,1254.0,15048.0,False,False,False,False,annual,True,null_end_date
S-cb38be,A-f92792,2024-09-05,,Basic,2,38.0,456.0,False,False,True,True,annual,True,flipped_churn_flag
S-000052,A-cdf020,2024-10-07,,Enterprise,23,4577.0,54924.0,False,True,False,False,annual,True,no_issue
S-383fc5,A-474ad4,2024-07-03,,Enterprise,8,0.0,0.0,True,False,False,False,monthly,True,no_issue
S-000053,A-2e4581,2024-12-19,,Enterprise,29,5771.0,69252.0,False,False,False,False,monthly,True,no_issue
S-000054,A-089363,2023-11-04,,Basic,40,760.0,9120.0,False,False,False,False,monthly,False,no_issue
S-000055,A-c9bb3e,2024-09-13,,Basic,26,494.0,5928.0,False,False,False,False,monthly,True,no_issue
S-000056,A-53f4e3,2024-12-03,,Basic,13,247.0,2964.0,False,False,False,True,annual,True,flipped_churn_flag
S-a7524a,A-54ecc2,2024-08-25,,Pro,13,637.0,7644.0,False,False,False,False,monthly,True,no_issue
S-2ff0ab,A-712f1c,2024-05-11,,Basic,17,323.0,3876.0,False,True,False,False,monthly,True,no_issue
S-000057,A-0f6450,2024-12-27,,Enterprise,28,0.0,0.0,True,False,False,False,monthly,True,no_issue
S-000058,A-10b8f2,2024-01-29,,Basic,47,893.0,10716.0,False,False,False,True,annual,False,flipped_churn_flag
S-000059,A-d49cc5,2024-10-09,,Pro,75,3675.0,44100.0,False,False,False,False,monthly,True,no_issue
S-00005a,A-7d514c,2024-09-08,,Basic,17,0.0,0.0,True,False,False,False,monthly,True,no_issue
S-138c41,A-00cac8,2023-12-26,,Basic,19,361.0,4332.0,False,False,False,False,annual,True,no_issue
S-00005b,A-560d27,2024-06-01,,Pro,23,1127.0,13524.0,False,False,False,False,annual,False,no_issue
S-00005c,A-5fe118,2024-12-06,,Enterprise,39,7761.0,93132.0,False,False,False,False,annual,True,no_issue
S-112733,A-71615e,2024-10-21,,Basic,15,285.0,3420.0,False,False,False,False,annual,False,no_issue
S-00005d,A-075038,2023-11-08,,Pro,17,833.0,9996.0,False,False,False,True,monthly,True,flipped_churn_flag
S-00005e,A-1e6fc3,2024-04-01,,Pro,5,245.0,2940.0,False,False,False,False,monthly,True,null_end_date
S-00005f,A-66224b,2024-12-06,,Basic,92,,20976.0,False,False,False,False,monthly,True,null_mrr_amount
S-000060,A-00cac8,2024-09-05,,Pro,8,392.0,4704.0,False,False,False,False,monthly,True,no_issue
S-000061,A-6da850,2024-01-17,,Enterprise,5,995.0,11940.0,False,False,False,True,monthly,True,flipped_churn_flag
S-000062,A-3b5cd1,2024-11-24,,Enterprise,13,2587.0,,False,False,False,False,annual,False,null_arr_amount
S-000063,A-5b4ebb,2024-10-15,,Pro,26,1274.0,15288.0,False,True,False,False,annual,True,no_issue
S-c23126,A-a45270,2024-10-31,,Enterprise,11,2189.0,26268.0,False,False,False,False,annual,False,no_issue
S-000064,A-712426,2024-12-31,,,63,0.0,0.0,True,False,False,False,annual,True,null_plan_tier
S-000065,A-cbbe12,2023-07-21,2024-10-23,Pro,40,0.0,0.0,True,False,False,False,annual,True,flipped_churn_flag
S-000066,A-87aa7b,2024-06-05,,Pro,24,1176.0,14112.0,False,False,True,False,annual,False,no_issue
S-000067,A-81edc3,2024-06-08,,Basic,24,456.0,5472.0,False,False,False,False,monthly,True,no_issue
S-465825,A-e2cd1b,2024-11-20,,Basic,18,342.0,4104.0,False,True,False,False,monthly,True,no_issue
S-b8ee76,A-7f4db3,2023-10-31,,Pro,6,294.0,3528.0,False,False,False,False,monthly,True,no_issue
S-24796e,A-cc8c8f,2024-11-27,,Enterprise,23,4577.0,54924.0,False,False,False,False,annual,False,no_issue
S-000068,A-4437e4,2024-02-12,,Pro,27,1323.0,15876.0,False,False,False,False,monthly,True,no_issue
S-000069,A-d792a6,2024-07-04,,Enterprise,4,796.0,9552.0,False,False,False,True,monthly,True,null_end_date; flipped_churn_flag
S-00006a,A-08e34e,2024-07-01,,Pro,14,686.0,8232.0,False,False,False,False,annual,True,no_issue
S-00006b,A-d82ef9,2024-08-07,,Enterprise,26,0.0,0.0,True,False,False,False,annual,True,no_issue
S-00006c,A-aa9511,2024-06-16,,Pro,23,1127.0,13524.0,False,False,False,False,monthly,True,no_issue
S-00006d,A-0dbdc6,2024-10-25,,Enterprise,30,5970.0,71640.0,False,False,False,False,monthly,False,no_issue
S-00006e,A-50f3f7,2024-10-23,,Enterprise,31,6169.0,74028.0,False,False,False,False,monthly,True,null_end_date
S-00006f,A-4c6f11,2024-08-01,,Basic,24,456.0,5472.0,False,False,False,False,monthly,True,no_issue
S-000070,A-0e966d,2024-11-15,,Enterprise,11,2189.0,26268.0,False,False,False,False,annual,True,no_issue
S-000071,A-40a557,2024-06-06,,Pro,16,784.0,9408.0,False,False,False,False,monthly,True,no_issue
S-000072,A-98a59a,2024-05-10,,Basic,56,1064.0,12768.0,False,False,False,False,monthly,False,no_issue
S-000073,A-474ad4,2024-07-02,,Pro,17,833.0,9996.0,False,False,False,False,monthly,True,no_issue
S-000074,A-dfbd31,2024-09-17,,Pro,43,2107.0,25284.0,False,True,False,False,monthly,True,no_issue
S-000075,A-b7724f,2024-12-26,,Basic,71,1349.0,16188.0,False,False,False,False,monthly,True,no_issue
S-000076,A-fa2041,2024-07-15,,Enterprise,16,3184.0,38208.0,False,False,False,True,annual,True,flipped_churn_flag
S-000077,A-7d514c,2024-12-05,,Enterprise,17,3383.0,40596.0,False,False,False,False,monthly,True,no_issue
S-65b963,A-e888d1,2024-03-04,,Basic,22,0.0,0.0,True,False,False,False,monthly,True,no_issue
S-e98121,A-56962b,2024-12-15,,Enterprise,163,32437.0,389244.0,False,False,False,False,monthly,True,no_issue
S-000078,A-4d1e75,2024-09-17,,Pro,20,980.0,11760.0,False,True,False,False,monthly,False,null_end_date
S-000079,A-297a2d,2024-08-29,,Basic,27,,6156.0,False,True,False,False,annual,True,null_mrr_amount
S-2aaca3,A-751c58,2024-12-18,,Enterprise,26,,62088.0,False,False,False,False,monthly,True,null_mrr_amount
S-00007a,A-30b4ca,2024-08-25,,Basic,86,1634.0,19608.0,False,False,False,False,monthly,True,no_issue
S-00007b,A-425e76,2024-04-16,,Basic,8,152.0,1824.0,False,False,False,False,monthly,True,no_issue
S-00007c,A-712426,2024-12-16,,Pro,9,441.0,5292.0,False,False,False,True,annual,True,flipped_churn_flag
S-7079c2,A-039727,2024-12-15,,Enterprise,25,4975.0,59700.0,False,False,True,False,annual,True,no_issue
S-00007d,A-f92792,2024-09-11,,Basic,6,0.0,0.0,True,False,False,False,monthly,True,no_issue
S-1082f7,A-c7ffc2,2023-08-21,,Basic,57,1083.0,12996.0,False,False,False,False,annual,True,no_issue
S-00007e,A-4437e4,2024-02-06,,,49,2401.0,28812.0,False,False,False,False,annual,True,null_plan_tier
S-00007f,A-f19b24,2024-03-17,,Pro,29,1421.0,17052.0,False,False,False,False,monthly,True,no_issue
S-3eb9c8,A-69fad4,2023-09-07,2024-02-11,Basic,35,665.0,7980.0,False,False,False,True,monthly,True,no_issue
S-000080,A-f44180,2023-08-31,,Enterprise,9,1791.0,21492.0,False,False,False,True,annual,True,flipped_churn_flag
S-000081,A-883b7d,2024-05-29,,Enterprise,25,4975.0,59700.0,False,False,False,False,monthly,True,no_issue
S-000082,A-4a4c2d,2024-10-03,,Basic,54,1026.0,12312.0,False,False,False,False,monthly,True,no_issue
S-000083,A-8e47ca,2024-04-26,,Enterprise,31,,74028.0,False,False,False,False,monthly,True,null_mrr_amount
S-000084,A-4437e4,2024-08-16,,Basic,11,209.0,2508.0,False,False,False,False,annual,True,no_issue
S-000085,A-eb2fdc,2024-05-22,,Enterprise,47,9353.0,112236.0,False,False,False,False,annual,True,no_issue
S-5d343c,A-9208f0,2023-09-23,,Basic,25,475.0,5700.0,False,False,False,False,annual,True,no_issue
S-fa03a5,A-7dacce,2024-11-27,,Pro,12,,7056.0,False,False,False,False,annual,True,null_mrr_amount
S-ef398a,A-b44e3e,2024-05-29,,Enterprise,40,7960.0,95520.0,False,False,False,False,annual,True,no_issue
S-000086,A-b9eed8,2024-11-30,,Basic,18,342.0,4104.0,False,False,False,False,monthly,True,no_issue
S-000087,A-a33200,2024-11-30,,Basic,29,551.0,6612.0,False,False,False,False,annual,True,no_issue
S-000088,A-bd4513,2024-12-20,,Enterprise,50,9950.0,119400.0,False,False,False,False,monthly,False,no_issue
S-000089,A-241e75,2024-07-11,,Pro,46,2254.0,27048.0,False,False,False,False,annual,True,null_end_date
S-00008a,A-bc4d48,2024-11-28,,Enterprise,35,6965.0,83580.0,False,False,False,True,annual,False,flipped_churn_flag
S-00008b,A-443b7c,2024-11-13,2024-11-21,Pro,39,0.0,0.0,True,False,False,True,monthly,False,no_issue
S-00008c,A-88c6ca,2024-11-19,,Enterprise,5,995.0,11940.0,False,False,False,False,monthly,True,no_issue
S-00008d,A-45ce7a,2024-04-13,,Pro,16,0.0,0.0,True,False,False,False,monthly,True,no_issue
S-8426e7,A-42e5e1,2024-10-18,,Enterprise,22,4378.0,52536.0,False,False,False,False,annual,True,no_issue
S-373c6e,A-dfbd31,2024-10-15,,Pro,14,686.0,8232.0,False,False,False,False,monthly,True,no_issue
S-00008e,A-0a282f,2024-10-11,,Enterprise,2,,4776.0,False,False,False,False,monthly,True,null_mrr_amount
S-00008f,A-ff3c73,2024-09-17,,Basic,45,855.0,10260.0,False,False,False,False,annual,False,no_issue
S-000090,A-3b5cd1,2024-12-24,,Enterprise,32,6368.0,76416.0,False,False,False,True,annual,True,flipped_churn_flag
S-17bbdd,A-bcbe98,2024-11-18,,Pro,46,2254.0,27048.0,False,False,False,True,annual,True,flipped_churn_flag
S-81fe83,A-b48f73,2024-11-15,,Basic,80,1520.0,18240.0,False,False,False,False,monthly,True,no_issue
S-000091,A-eafc6e,2024-08-16,,Enterprise,27,5373.0,64476.0,False,False,False,False,monthly,True,no_issue
S-b22602,A-b9f5b1,2024-05-04,2024-09-29,Enterprise,39,0.0,0.0,True,False,False,True,annual,True,no_issue
S-000092,A-712426,2024-12-15,,Pro,13,,7644.0,False,True,False,False,monthly,True,null_mrr_amount
S-000093,A-ced9aa,2024-11-23,,Pro,3,,1764.0,False,False,False,False,monthly,True,null_mrr_amount
S-000094,A-2d1036,2024-07-13,,Basic,69,1311.0,15732.0,False,False,False,False,annual,False,no_issue
S-000095,A-bad8c1,2023-12-12,,Enterprise,10,0.0,0.0,True,True,False,False,annual,True,no_issue
S-000096,A-9123ac,2024-10-21,,Enterprise,18,3582.0,42984.0,False,False,False,False,annual,True,no_issue
S-000097,A-0651a4,2024-12-25,,Enterprise,65,12935.0,155220.0,False,False,False,False,annual,True,no_issue
S-000098,A-f17767,2024-03-20,,Pro,9,441.0,5292.0,False,False,False,True,monthly,True,flipped_churn_flag
S-000099,A-4d1e75,2024-11-14,,Pro,39,1911.0,22932.0,False,False,False,False,annual,True,no_issue
S-491caf,A-6f50ae,2024-03-24,,Basic,19,361.0,4332.0,False,False,True,False,annual,False,no_issue
S-00009a,A-dfbd31,2024-10-16,,Pro,60,2940.0,35280.0,False,False,False,False,annual,True,no_issue
S-66106d,A-186a44,2024-11-02,,Enterprise,20,0.0,0.0,True,False,False,False,monthly,False,no_issue
S-00009b,A-462d45,2024-03-25,,Pro,18,882.0,10584.0,False,False,False,False,monthly,True,no_issue
S-00009c,A-5a3eb9,2023-09-21,,Pro,18,882.0,10584.0,False,False,False,True,annual,True,flipped_churn_flag
S-00009d,A-f19409,2024-10-27,,,23,1127.0,13524.0,False,False,False,False,annual,True,null_plan_tier
S-00009e,A-0aaf6e,2024-12-07,2024-12-15,Pro,12,588.0,7056.0,False,False,False,True,annual,False,no_issue
S-691d69,A-cea1f0,2024-10-18,,Enterprise,22,4378.0,52536.0,False,True,False,True,monthly,True,flipped_churn_flag
S-00009f,A-712f1c,2024-05-15,,Pro,38,,22344.0,False,True,False,False,annual,False,null_mrr_amount
S-9cca23,A-3a5ad8,2024-12-20,,Enterprise,9,1791.0,21492.0,False,False,False,False,monthly,True,no_issue
S-0000a0,A-039727,2024-12-09,,Basic,25,475.0,,False,False,False,False,annual,True,null_arr_amount
S-585d4c,A-00bed1,2024-05-06,,Enterprise,28,5572.0,66864.0,False,True,False,False,monthly,True,no_issue
S-0000a1,A-bc87bc,2024-12-15,,Basic,8,152.0,1824.0,False,False,False,False,monthly,True,no_issue
S-0000a2,A-69fad4,2023-07-24,,Basic,15,,3420.0,False,False,False,False,monthly,True,null_mrr_amount
S-0000a3,A-d5a319,2024-07-24,,Enterprise,15,2985.0,35820.0,False,True,False,False,monthly,False,no_issue
S-0000a4,A-82d8a6,2024-12-11,,,16,784.0,9408.0,False,True,False,True,monthly,True,null_plan_tier; flipped_churn_flag
S-0000a5,A-ac9111,2024-12-21,,Basic,21,399.0,4788.0,False,False,False,False,annual,True,no_issue
S-5ee117,A-f5641b,2024-07-25,,Pro,31,1519.0,18228.0,False,False,False,False,monthly,True,no_issue
S-6ee525,A-9badbd,2024-09-05,,Enterprise,23,4577.0,54924.0,False,False,False,True,annual,True,flipped_churn_flag
S-0000a6,A-2ebb4b,2024-05-25,,Pro,41,2009.0,24108.0,False,True,False,False,annual,True,no_issue
S-0000a7,A-69b156,2024-04-15,2024-07-09,,7,343.0,4116.0,False,False,False,True,annual,False,null_plan_tier
S-0000a8,A-ccc747,2024-05-13,,Enterprise,16,0.0,0.0,True,True,False,True,monthly,False,flipped_churn_flag
