subscription_id,account_id,start_date,end_date,start_month,end_month,subscription_age_days,subscription_age_months,mrr_clean,arr_clean,lifetime_mrr,churned_mrr,is_churned,churn_date,churn_month,plan_tier,seat_bucket,seats,rev_change_flag,subscription_status,is_new,is_upgrade,is_downgrade,dirty_row_flag,dirty_row_reason,dirty_row_reason_count
S-000043,A-bf7919,2024-12-21,,2024-12,NaT,362,12,735.0,8820.0,8820.0,735.0,True,2024-12-17,2024-12,Pro,11_to_25,15,unchanged,churned,False,False,False,True,"[""mrr_arr_imputed_from_lookup""]",1
S-000044,A-30b4ca,2024-05-24,2024-09-01,2024-05,2024-09,100,4,17114.0,205368.0,68456.0,17114.0,True,2024-09-01,2024-09,Enterprise,50+,86,unchanged,churned,True,False,False,True,"[""end_date_derived"", ""mrr_arr_imputed_from_lookup""]",2
S-000045,A-462d45,2024-01-16,2024-05-29,2024-01,2024-05,134,4,1691.0,20292.0,6764.0,1691.0,True,2024-05-17,2024-05,Basic,50+,89,unchanged,churned,True,False,False,True,"[""mrr_arr_imputed_from_lookup""]",1
S-000046,A-09316c,2024-11-27,2024-12-05,2024-11,2024-12,8,1,3430.0,41160.0,3430.0,3430.0,True,2024-12-05,2024-12,Pro,50+,70,unchanged,churned,False,False,False,True,"[""end_date_derived"", ""mrr_arr_imputed_from_lookup""]",2
S-000047,A-de24d5,2024-12-09,2024-12-21,2024-12,2024-12,12,0,3773.0,45276.0,0.0,3773.0,True,,NaT,Pro,50+,77,unchanged,churned,False,False,False,True,"[""plan_tier_imputed_from_lookup"", ""mrr_arr_imputed_from_lookup""]",2
S-000048,A-2d4502,2024-09-04,,2024-09,NaT,470,15,4378.0,52536.0,65670.0,4378.0,True,2024-05-07,2024-05,Enterprise,11_to_25,22,unchanged,churned,False,False,False,True,"[""plan_tier_imputed_from_lookup"", ""mrr_arr_imputed_from_lookup""]",2
S-000049,A-dfbd31,2023-12-31,2024-12-19,2023-12,2024-12,354,12,0.0,0.0,0.0,0.0,True,2024-12-19,2024-12,Enterprise,11_to_25,24,unchanged,churned,False,False,False,True,"[""end_date_derived""]",1
S-00004a,A-bb2f49,2024-06-15,,2024-06,NaT,551,18,1715.0,20580.0,30870.0,0.0,False,,NaT,Pro,26_to_50,35,unchanged,active,False,False,False,True,"[""mrr_arr_imputed_from_lookup""]",1
S-00004b,A-2bc93d,2023-07-19,2024-08-15,2023-07,2024-08,393,13,2786.0,33432.0,36218.0,2786.0,True,2024-08-15,2024-08,Enterprise,11_to_25,14,unchanged,churned,True,False,False,True,"[""end_date_derived"", ""mrr_arr_imputed_from_lookup""]",2
S-00004c,A-7c4956,2024-08-14,,2024-08,NaT,491,16,1194.0,14328.0,19104.0,0.0,False,,NaT,Enterprise,01_to_10,6,unchanged,active,False,False,False,True,"[""mrr_arr_imputed_from_lookup""]",1
S-00004d,A-856b1e,2023-12-17,,2023-12,NaT,732,24,1470.0,17640.0,35280.0,0.0,False,,NaT,Pro,26_to_50,30,unchanged,active,False,False,False,True,"[""mrr_arr_imputed_from_lookup""]",1
S-00004e,A-034368,2024-11-29,,2024-11,NaT,384,13,551.0,6612.0,7163.0,551.0,True,2024-08-29,2024-08,Basic,26_to_50,29,unchanged,churned,False,False,False,True,"[""mrr_arr_imputed_from_lookup""]",1
S-00004f,A-f97b9a,2024-06-19,,2024-06,NaT,547,18,3184.0,38208.0,57312.0,0.0,False,,NaT,Enterprise,11_to_25,16,unchanged,active,False,False,False,True,"[""mrr_arr_imputed_from_lookup""]",1
S-000050,A-94f8c9,2024-12-17,,2024-12,NaT,366,12,7164.0,85968.0,85968.0,7164.0,True,2024-05-02,2024-05,Enterprise,26_to_50,36,unchanged,churned,False,False,False,True,"[""mrr_arr_imputed_from_lookup""]",1
S-000051,A-ff3c73,2023-04-08,2024-05-09,2023-04,2024-05,397,13,1254.0,15048.0,16302.0,1254.0,True,2024-05-09,2024-05,Basic,50+,66,unchanged,churned,False,False,False,True,"[""end_date_derived"", ""mrr_arr_imputed_from_lookup""]",2
S-000052,A-cdf020,2024-10-07,2024-11-07,2024-10,2024-11,31,1,4577.0,54924.0,4577.0,4577.0,True,2024-11-07,2024-11,Enterprise,11_to_25,23,expansion,churned,False,True,False,True,"[""end_date_derived"", ""mrr_arr_imputed_from_lookup""]",2
S-000053,A-2e4581,2024-12-19,,2024-12,NaT,364,12,5771.0,69252.0,69252.0,5771.0,True,2024-12-05,2024-12,Enterprise,26_to_50,29,unchanged,churned,False,False,False,True,"[""mrr_arr_imputed_from_lookup""]",1
S-000054,A-089363,2023-11-04,2023-11-27,2023-11,2023-11,23,0,760.0,9120.0,0.0,760.0,True,2023-11-27,2023-11,Basic,26_to_50,40,unchanged,churned,False,False,False,True,"[""end_date_derived"", ""mrr_arr_imputed_from_lookup""]",2
S-000055,A-c9bb3e,2024-09-13,2024-10-03,2024-09,2024-10,20,1,494.0,5928.0,494.0,494.0,True,2024-10-03,2024-10,Basic,26_to_50,26,unchanged,churned,False,False,False,True,"[""end_date_derived"", ""mrr_arr_imputed_from_lookup""]",2
S-000056,A-53f4e3,2024-12-03,2024-12-06,2024-12,2024-12,3,0,247.0,2964.0,0.0,247.0,True,2024-12-06,2024-12,Basic,11_to_25,13,unchanged,churned,False,False,False,True,"[""end_date_derived"", ""mrr_arr_imputed_from_lookup""]",2
S-000057,A-0f6450,2024-12-27,2024-12-30,2024-12,2024-12,3,0,0.0,0.0,0.0,0.0,True,2024-12-30,2024-12,Enterprise,26_to_50,28,unchanged,churned,True,False,False,True,"[""end_date_derived""]",1
S-000058,A-10b8f2,2024-01-29,2024-06-04,2024-01,2024-06,127,5,893.0,10716.0,4465.0,893.0,True,2024-06-04,2024-06,Basic,26_to_50,47,unchanged,churned,False,False,False,True,"[""end_date_derived"", ""mrr_arr_imputed_from_lookup""]",2
S-000059,A-d49cc5,2024-10-09,,2024-10,NaT,435,14,3675.0,44100.0,51450.0,3675.0,True,2024-04-12,2024-04,Pro,50+,75,unchanged,churned,False,False,False,True,"[""mrr_arr_imputed_from_lookup""]",1
S-00005a,A-7d514c,2024-09-08,2024-10-08,2024-09,2024-10,30,1,0.0,0.0,0.0,0.0,False,,NaT,Basic,11_to_25,17,unchanged,trial,False,False,False,True,"[""trial_capped_at_30_days""]",1
S-00005b,A-560d27,2024-06-01,,2024-06,NaT,565,18,1127.0,13524.0,20286.0,0.0,False,,NaT,Pro,11_to_25,23,unchanged,active,False,False,False,True,"[""mrr_arr_imputed_from_lookup""]",1
S-00005c,A-5fe118,2024-12-06,2024-12-16,2024-12,2024-12,10,0,7761.0,93132.0,0.0,7761.0,True,2024-12-16,2024-12,Enterprise,26_to_50,39,unchanged,churned,False,False,False,True,"[""end_date_derived"", ""mrr_arr_imputed_from_lookup""]",2
S-00005d,A-075038,2023-11-08,2024-09-05,2023-11,2024-09,302,10,833.0,9996.0,8330.0,833.0,True,2024-09-05,2024-09,Pro,11_to_25,17,unchanged,churned,False,False,False,True,"[""end_date_derived"", ""mrr_arr_imputed_from_lookup""]",2
S-00005e,A-1e6fc3,2024-04-01,,2024-04,NaT,626,20,245.0,2940.0,4900.0,245.0,True,2024-03-20,2024-03,Pro,01_to_10,5,unchanged,churned,False,False,False,True,"[""mrr_arr_imputed_from_lookup""]",1
S-00005f,A-66224b,2024-12-06,,2024-12,NaT,377,12,1748.0,20976.0,20976.0,0.0,False,,NaT,Basic,50+,92,unchanged,active,False,False,False,True,"[""mrr_arr_imputed_from_lookup""]",1
S-000060,A-00cac8,2024-09-05,,2024-09,NaT,469,15,392.0,4704.0,5880.0,0.0,False,,NaT,Pro,01_to_10,8,unchanged,active,False,False,False,True,"[""mrr_arr_imputed_from_lookup""]",1
S-000061,A-6da850,2024-01-17,2024-10-25,2024-01,2024-10,282,9,995.0,11940.0,8955.0,995.0,True,2024-10-25,2024-10,Enterprise,01_to_10,5,unchanged,churned,False,False,False,True,"[""end_date_derived"", ""mrr_arr_imputed_from_lookup""]",2
S-000062,A-3b5cd1,2024-11-24,,2024-11,NaT,389,13,2587.0,31044.0,33631.0,2587.0,True,2024-08-30,2024-08,Enterprise,11_to_25,13,unchanged,churned,False,False,False,True,"[""mrr_arr_imputed_from_lookup""]",1
S-000063,A-5b4ebb,2024-10-15,,2024-10,NaT,429,14,1274.0,15288.0,17836.0,0.0,False,,NaT,Pro,26_to_50,26,expansion,active,False,True,False,True,"[""mrr_arr_imputed_from_lookup""]",1
S-000064,A-712426,2024-12-31,2025-01-30,2024-12,2025-01,30,1,0.0,0.0,0.0,0.0,True,2024-12-23,2024-12,Trial,50+,63,unchanged,churned,False,False,False,True,"[""trial_capped_at_30_days"", ""trial_tier_set_to_trial""]",2
S-000065,A-cbbe12,2023-07-21,2024-10-23,2023-07,2024-10,460,15,0.0,0.0,0.0,0.0,False,,NaT,Pro,26_to_50,40,unchanged,trial,True,False,False,False,,0
S-000066,A-87aa7b,2024-06-05,2024-12-26,2024-06,2024-12,204,6,1176.0,14112.0,7056.0,1176.0,True,2024-12-26,2024-12,Pro,11_to_25,24,contraction,churned,False,False,True,True,"[""end_date_derived"", ""mrr_arr_imputed_from_lookup""]",2
S-000067,A-81edc3,2024-06-08,2024-12-16,2024-06,2024-12,191,6,456.0,5472.0,2736.0,456.0,True,2024-12-16,2024-12,Basic,11_to_25,24,unchanged,churned,False,False,False,True,"[""end_date_derived"", ""mrr_arr_imputed_from_lookup""]",2
S-000068,A-4437e4,2024-02-12,2024-06-21,2024-02,2024-06,130,4,1323.0,15876.0,5292.0,1323.0,True,2024-06-21,2024-06,Pro,26_to_50,27,unchanged,churned,False,False,False,True,"[""end_date_derived"", ""mrr_arr_imputed_from_lookup""]",2
S-000069,A-d792a6,2024-07-04,2024-08-13,2024-07,2024-08,40,1,796.0,9552.0,796.0,796.0,True,2024-08-13,2024-08,Enterprise,01_to_10,4,unchanged,churned,False,False,False,True,"[""end_date_derived"", ""mrr_arr_imputed_from_lookup""]",2
S-00006a,A-08e34e,2024-07-01,2024-09-01,2024-07,2024-09,62,2,686.0,8232.0,1372.0,686.0,True,2024-09-01,2024-09,Pro,11_to_25,14,unchanged,churned,True,False,False,True,"[""end_date_derived"", ""mrr_arr_imputed_from_lookup""]",2
S-00006b,A-d82ef9,2024-08-07,2024-09-06,2024-08,2024-09,30,1,0.0,0.0,0.0,0.0,True,2024-08-06,2024-08,Enterprise,26_to_50,26,unchanged,churned,False,False,False,True,"[""trial_capped_at_30_days""]",1
S-00006c,A-aa9511,2024-06-16,,2024-06,NaT,550,18,1127.0,13524.0,20286.0,1127.0,True,2023-10-17,2023-10,Pro,11_to_25,23,unchanged,churned,False,False,False,True,"[""mrr_arr_imputed_from_lookup""]",1
S-00006d,A-0dbdc6,2024-10-25,,2024-10,NaT,419,14,5970.0,71640.0,83580.0,5970.0,True,2024-04-14,2024-04,Enterprise,26_to_50,30,unchanged,churned,False,False,False,True,"[""mrr_arr_imputed_from_lookup""]",1
S-00006e,A-50f3f7,2024-10-23,,2024-10,NaT,421,14,6169.0,74028.0,86366.0,0.0,False,,NaT,Enterprise,26_to_50,31,unchanged,active,False,False,False,True,"[""mrr_arr_imputed_from_lookup""]",1
