subscription_id,account_id,feature_name,usage_month,usage_count,usage_duration_secs,first_use_date,last_use_date,error_count,is_beta_feature,duration_per_use,account_feature_rank
S-007e2c,A-cb5333,feature_16,2024-05,10,4140,2024-05-17,2024-05-17,0,False,414.0,2.0
S-007e2c,A-cb5333,feature_18,2024-11,9,585,2024-11-24,2024-11-24,0,True,65.0,2.0
S-007e2c,A-cb5333,feature_20,2023-02,20,1840,2023-02-17,2023-02-17,0,False,92.0,1.0
S-007e2c,A-cb5333,feature_28,2024-11,11,5324,2024-11-09,2024-11-09,0,True,484.0,1.0
S-00837c,A-089363,feature_12,2024-11,8,4232,2024-11-20,2024-11-20,1,True,529.0,2.0
S-00837c,A-089363,feature_13,2023-10,20,700,2023-10-10,2023-10-10,0,True,35.0,1.0
S-00837c,A-089363,feature_2,2023-07,3,150,2023-07-25,2023-07-25,5,False,50.0,2.0
S-00837c,A-089363,feature_23,2024-10,14,3556,2024-10-21,2024-10-21,1,True,254.0,1.0
S-00866d,A-05f0e5,feature_2,2023-08,9,1611,2023-08-28,2023-08-28,0,False,179.0,2.0
S-00866d,A-05f0e5,feature_21,2024-11,16,80,2024-11-21,2024-11-21,0,False,5.0,2.0
S-00866d,A-05f0e5,feature_26,2023-06,12,264,2023-06-22,2023-06-22,2,False,22.0,1.0
S-008cab,A-202b67,feature_12,2024-12,7,1771,2024-12-26,2024-12-26,0,False,253.0,5.0
S-008cab,A-202b67,feature_14,2024-10,10,1410,2024-10-26,2024-10-26,3,False,141.0,1.0
S-008cab,A-202b67,feature_18,2024-06,10,2620,2024-06-01,2024-06-01,2,False,262.0,3.0
S-008cab,A-202b67,feature_19,2023-10,13,2990,2023-10-10,2023-10-10,0,False,230.0,2.0
S-008cab,A-202b67,feature_20,2024-09,9,2034,2024-09-12,2024-09-12,0,False,226.0,1.0
S-008cab,A-202b67,feature_24,2024-12,10,4620,2024-12-28,2024-12-28,2,False,462.0,3.0
S-008cab,A-202b67,feature_32,2023-11,26,11518,2023-11-28,2023-11-28,0,False,443.0,1.0
S-008cab,A-202b67,feature_38,2023-09,13,2301,2023-09-02,2023-09-02,1,False,177.0,1.0
S-008cab,A-202b67,feature_6,2024-06,22,9702,2024-06-07,2024-06-07,0,False,441.0,1.0
S-008f3c,A-e98302,feature_6,2024-07,6,1950,2024-07-17,2024-07-17,0,True,325.0,2.0
S-009027,A-1b7577,feature_14,2024-12,11,4191,2024-12-11,2024-12-11,0,False,381.0,1.0
S-009027,A-1b7577,feature_20,2023-10,7,1043,2023-10-07,2023-10-07,0,False,149.0,6.0
S-009027,A-1b7577,feature_23,2024-06,12,2436,2024-06-22,2024-06-22,0,False,203.0,2.0
S-009027,A-1b7577,feature_32,2024-09,5,1080,2024-09-08,2024-09-08,0,False,216.0,3.0
S-009027,A-1b7577,feature_4,2023-10,19,11153,2023-10-24,2023-10-24,1,False,587.0,1.0
S-00ab51,A-ae052e,feature_31,2023-07,12,3780,2023-07-13,2023-07-13,1,False,315.0,2.0
S-00ab51,A-ae052e,feature_38,2023-09,26,4056,2023-09-25,2023-09-25,0,False,156.0,1.0
S-00ab51,A-ae052e,feature_5,2024-03,20,11520,2024-03-29,2024-03-29,2,False,576.0,1.0
S-00ab51,A-ae052e,feature_9,2023-04,14,1806,2023-04-14,2023-04-14,0,True,129.0,1.0
S-00b0bc,A-089363,feature_13,2024-02,4,2304,2024-02-22,2024-02-22,0,False,576.0,5.0
S-00bb84,A-4f18f0,feature_2,2024-03,9,2331,2024-03-14,2024-03-14,0,False,259.0,1.0
S-00bb84,A-4f18f0,feature_24,2023-01,5,2980,2023-01-12,2023-01-12,0,False,596.0,6.0
S-00bb84,A-4f18f0,feature_25,2023-07,10,5010,2023-07-21,2023-07-21,0,False,501.0,2.0
S-00bb84,A-4f18f0,feature_28,2023-12,44,9460,2023-12-17,2023-12-17,8,False,215.0,1.0
S-00bb84,A-4f18f0,feature_30,2023-03,7,385,2023-03-10,2023-03-10,0,False,55.0,2.0
S-00bb84,A-4f18f0,feature_33,2023-01,10,1850,2023-01-11,2023-01-11,1,False,185.0,2.0
S-00bb84,A-4f18f0,feature_33,2024-02,9,2376,2024-02-28,2024-02-28,0,False,264.0,2.0
S-00bb84,A-4f18f0,feature_4,2024-03,9,657,2024-03-10,2024-03-10,0,False,73.0,1.0
S-00dea4,A-a6d261,feature_12,2023-09,26,10088,2023-09-30,2023-09-30,0,True,388.0,1.0
S-00dea4,A-a6d261,feature_37,2023-10,24,2159,2023-10-17,2023-10-17,0,False,89.95833333333333,1.0
S-00dea4,A-a6d261,feature_39,2024-10,10,1330,2024-10-25,2024-10-25,0,False,133.0,1.0
S-00dea4,A-a6d261,feature_5,2024-09,14,5236,2024-09-05,2024-09-05,0,False,374.0,1.0
S-00dea4,A-a6d261,feature_9,2023-05,14,2996,2023-05-25,2023-05-25,0,False,214.0,2.0
S-00f31d,A-410e86,feature_17,2023-04,6,1818,2023-04-01,2023-04-01,0,True,303.0,1.0
S-00f31d,A-410e86,feature_24,2023-05,9,378,2023-05-25,2023-05-25,0,True,42.0,2.0
S-00f31d,A-410e86,feature_30,2023-01,11,4158,2023-01-14,2023-01-14,0,False,378.0,1.0
S-00f31d,A-410e86,feature_6,2024-02,6,1974,2024-02-14,2024-02-14,0,False,329.0,2.0
S-00f31d,A-410e86,feature_6,2024-07,8,4488,2024-07-01,2024-07-01,2,False,561.0,1.0
S-00fb6e,A-c16101,feature_11,2024-12,8,3456,2024-12-06,2024-12-06,0,False,432.0,4.0
S-00fb6e,A-c16101,feature_22,2024-03,13,4862,2024-03-16,2024-03-16,0,True,374.0,1.0
S-00fb6e,A-c16101,feature_24,2024-07,12,744,2024-07-22,2024-07-22,0,False,62.0,2.0
S-00fb6e,A-c16101,feature_26,2023-06,12,6624,2023-06-24,2023-06-24,0,False,552.0,1.0
S-00fb6e,A-c16101,feature_33,2024-08,12,2028,2024-08-09,2024-08-09,0,False,169.0,1.0
S-00fcc5,A-40de06,feature_1,2023-08,10,5680,2023-08-13,2023-08-13,0,True,568.0,2.0
S-00fcc5,A-40de06,feature_12,2024-07,11,924,2024-07-04,2024-07-04,1,False,84.0,2.0
S-00fcc5,A-40de06,feature_33,2023-05,13,6058,2023-05-17,2023-05-17,0,False,466.0,2.0
S-00fcc5,A-40de06,feature_33,2023-08,10,3760,2023-08-23,2023-08-23,1,False,376.0,2.0
S-00fcc5,A-40de06,feature_35,2024-03,18,5580,2024-03-13,2024-03-13,0,False,310.0,1.0
S-00fcc5,A-40de06,feature_37,2023-08,15,8610,2023-08-22,2023-08-22,0,False,574.0,1.0
S-00fcc5,A-40de06,feature_6,2023-07,12,5472,2023-07-18,2023-07-18,0,False,456.0,2.0
S-012ab9,A-b78bf8,feature_10,2024-07,9,549,2024-07-04,2024-07-04,0,False,61.0,2.0
S-012ab9,A-b78bf8,feature_16,2023-04,7,2751,2023-04-09,2023-04-09,2,False,393.0,2.0
S-012ab9,A-b78bf8,feature_17,2024-02,4,296,2024-02-10,2024-02-10,0,False,74.0,4.0
S-012ab9,A-b78bf8,feature_20,2024-04,11,3025,2024-04-21,2024-04-21,0,False,275.0,1.0
S-012ab9,A-b78bf8,feature_27,2024-01,13,4927,2024-01-01,2024-01-01,0,True,379.0,1.0
S-012ab9,A-b78bf8,feature_30,2024-09,9,2295,2024-09-01,2024-09-01,0,False,255.0,2.0
S-012ab9,A-b78bf8,feature_38,2023-04,22,6270,2023-04-09,2023-04-09,0,True,285.0,1.0
S-012b26,A-df1e44,feature_11,2024-01,8,3264,2024-01-27,2024-01-27,0,False,408.0,1.0
S-012b26,A-df1e44,feature_14,2023-02,6,1134,2023-02-15,2023-02-15,0,False,189.0,4.0
S-012b26,A-df1e44,feature_18,2024-02,14,5320,2024-02-04,2024-02-04,0,False,380.0,1.0
S-012b26,A-df1e44,feature_2,2023-11,7,1911,2023-11-01,2023-11-01,0,False,273.0,1.0
S-012b26,A-df1e44,feature_28,2024-11,12,6144,2024-11-06,2024-11-06,0,False,512.0,2.0
S-012b26,A-df1e44,feature_3,2024-11,11,3586,2024-11-07,2024-11-07,0,False,326.0,3.0
S-012b26,A-df1e44,feature_37,2023-10,19,3021,2023-10-22,2023-10-22,0,False,159.0,1.0
S-012b26,A-df1e44,feature_8,2023-08,10,4100,2023-08-05,2023-08-05,0,False,410.0,2.0
S-012b26,A-df1e44,feature_9,2023-02,6,828,2023-02-05,2023-02-05,4,False,138.0,4.0
S-013f5c,A-40de06,feature_1,2024-05,12,3504,2024-05-13,2024-05-13,0,False,292.0,2.0
S-013f5c,A-40de06,feature_10,2023-12,10,270,2023-12-29,2023-12-29,3,False,27.0,3.0
S-013f5c,A-40de06,feature_13,2023-10,13,6825,2023-10-06,2023-10-06,0,True,525.0,1.0
S-013f5c,A-40de06,feature_2,2023-03,11,4510,2023-03-16,2023-03-16,0,False,410.0,1.0
S-013f5c,A-40de06,feature_20,2023-06,13,1287,2023-06-26,2023-06-26,0,True,99.0,1.0
S-013f5c,A-40de06,feature_23,2023-05,8,3448,2023-05-04,2023-05-04,3,False,431.0,4.0
S-013f5c,A-40de06,feature_26,2023-09,10,610,2023-09-25,2023-09-25,0,False,61.0,4.0
S-013f5c,A-40de06,feature_29,2023-08,8,4600,2023-08-25,2023-08-25,0,False,575.0,3.0
S-013f5c,A-40de06,feature_31,2023-07,12,1452,2023-07-07,2023-07-07,0,False,121.0,2.0
S-0144ac,A-5a215a,feature_24,2023-10,5,135,2023-10-20,2023-10-20,0,False,27.0,3.0
S-0144ac,A-5a215a,feature_29,2024-09,6,1260,2024-09-20,2024-09-20,0,False,210.0,2.0
S-0144ac,A-5a215a,feature_34,2024-12,10,5130,2024-12-14,2024-12-14,0,True,513.0,2.0
S-0144ac,A-5a215a,feature_37,2024-09,18,6912,2024-09-18,2024-09-18,0,False,384.0,1.0
S-0146f6,A-7641d3,feature_21,2023-05,6,2640,2023-05-21,2023-05-21,0,False,440.0,2.0
S-0146f6,A-7641d3,feature_21,2023-08,14,6692,2023-08-23,2023-08-23,1,False,478.0,1.0
S-0146f6,A-7641d3,feature_33,2024-10,10,2780,2024-10-18,2024-10-18,0,False,278.0,2.0
S-0146f6,A-7641d3,feature_40,2024-07,7,2443,2024-07-06,2024-07-06,0,False,349.0,3.0
S-0146f6,A-7641d3,feature_40,2024-10,11,5489,2024-10-01,2024-10-01,0,False,499.0,1.0
S-0146f6,A-7641d3,feature_8,2024-04,9,4851,2024-04-21,2024-04-21,0,False,539.0,2.0
S-0146f6,A-7641d3,,2023-08,14,6692,2023-08-23,2023-08-23,1,False,478.0,1.0
S-016b5f,A-977ca0,feature_15,2023-03,6,2244,2023-03-03,2023-03-03,3,False,374.0,2.0
S-016b5f,A-977ca0,feature_19,2024-01,12,1884,2024-01-12,2024-01-12,1,False,157.0,3.0
S-016b5f,A-977ca0,feature_20,2024-01,7,1554,2024-01-12,2024-01-12,2,False,222.0,4.0
S-016b5f,A-977ca0,feature_20,2024-06,24,6240,2024-06-25,2024-06-25,0,False,260.0,1.0
S-016b5f,A-977ca0,feature_24,2023-12,9,3996,2023-12-22,2023-12-22,0,False,444.0,2.0
S-016b5f,A-977ca0,,2024-01,7,1554,2024-01-12,2024-01-12,2,False,222.0,4.0
S-017e33,A-f9cc74,feature_17,2024-05,8,2760,2024-05-07,2024-05-07,0,True,345.0,3.0
S-017e33,A-f9cc74,feature_25,2023-04,13,3822,2023-04-14,2023-04-14,2,False,294.0,1.0
S-017e33,A-f9cc74,feature_29,2024-11,12,1188,2024-11-06,2024-11-06,0,False,99.0,1.0
S-017e33,A-f9cc74,feature_34,2024-03,9,4374,2024-03-29,2024-03-29,0,False,486.0,1.0
S-017e33,A-f9cc74,feature_37,2024-05,5,2640,2024-05-26,2024-05-26,1,False,528.0,4.0
S-017e33,A-f9cc74,feature_38,2023-02,4,388,2023-02-04,2023-02-04,0,False,97.0,3.0
S-017e33,A-f9cc74,feature_9,2023-12,10,3620,2023-12-06,2023-12-06,4,False,362.0,2.0
S-018501,A-a865bd,feature_1,2023-04,13,2080,2023-04-28,2023-04-28,2,True,160.0,1.0
S-018501,A-a865bd,feature_16,2023-01,8,1584,2023-01-14,2023-01-14,0,False,198.0,2.0
S-018501,A-a865bd,feature_22,2023-09,10,3610,2023-09-30,2023-09-30,0,False,361.0,2.0
S-018501,A-a865bd,feature_25,2023-09,12,1944,2023-09-11,2023-09-11,0,False,162.0,1.0
S-018501,A-a865bd,feature_37,2024-11,9,3726,2024-11-05,2024-11-05,0,True,414.0,1.0
S-018501,A-a865bd,feature_9,2023-05,10,3370,2023-05-26,2023-05-26,1,False,337.0,1.0
S-018501,A-a865bd,,2023-05,10,3370,2023-05-26,2023-05-26,1,False,337.0,1.0
S-0185ce,A-50f3f7,feature_39,2023-11,13,3783,2023-11-19,2023-11-19,0,False,291.0,2.0
S-0185ce,A-50f3f7,feature_40,2023-01,16,3264,2023-01-02,2023-01-02,0,True,204.0,1.0
S-0185ce,A-50f3f7,feature_7,2024-02,18,324,2024-02-13,2024-02-13,3,False,18.0,1.0
S-01990c,A-d62e02,feature_27,2023-09,3,1206,2023-09-18,2023-09-18,2,False,402.0,2.0
S-01ae7f,A-b179bf,feature_10,2024-07,15,5370,2024-07-08,2024-07-08,0,False,358.0,2.0
S-01ae7f,A-b179bf,feature_10,2024-09,11,1683,2024-09-10,2024-09-10,0,False,153.0,3.0
S-01ae7f,A-b179bf,feature_12,2023-03,8,3760,2023-03-10,2023-03-10,0,False,470.0,2.0
S-01ae7f,A-b179bf,feature_19,2023-03,15,5655,2023-03-07,2023-03-07,0,False,377.0,1.0
S-01ae7f,A-b179bf,feature_22,2023-01,8,4248,2023-01-04,2023-01-04,1,False,531.0,3.0
S-01ae7f,A-b179bf,feature_28,2024-08,6,330,2024-08-08,2024-08-08,2,False,55.0,3.0
S-01ae7f,A-b179bf,feature_31,2024-09,12,6552,2024-09-23,2024-09-23,0,False,546.0,2.0
S-01ae7f,A-b179bf,feature_34,2023-03,7,1918,2023-03-19,2023-03-19,1,False,274.0,3.0
S-01ae7f,A-b179bf,feature_38,2023-11,9,2745,2023-11-14,2023-11-14,0,False,305.0,2.0
S-01ae7f,A-b179bf,feature_4,2023-01,9,234,2023-01-03,2023-01-03,0,True,26.0,2.0
S-01afa4,A-a09355,feature_1,2023-01,7,2618,2023-01-20,2023-01-20,0,False,374.0,3.0
S-01afa4,A-a09355,feature_1,2024-06,13,6188,2024-06-21,2024-06-21,0,False,476.0,1.0
S-01afa4,A-a09355,feature_17,2023-09,13,988,2023-09-16,2023-09-16,1,False,76.0,1.0
S-01afa4,A-a09355,feature_33,2023-01,11,6215,2023-01-27,2023-01-27,0,False,565.0,1.0
S-01b2dc,A-cc102e,feature_2,2024-11,11,5951,2024-11-29,2024-11-29,2,False,541.0,1.0
S-01b2dc,A-cc102e,feature_26,2024-10,9,711,2024-10-16,2024-10-16,2,False,79.0,1.0
S-01b2dc,A-cc102e,feature_27,2023-06,10,3390,2023-06-05,2023-06-05,0,False,339.0,1.0
S-01b2dc,A-cc102e,feature_35,2024-05,10,1080,2024-05-15,2024-05-15,2,False,108.0,1.0
S-01b2dc,A-cc102e,feature_7,2023-09,7,847,2023-09-05,2023-09-05,0,False,121.0,1.0
S-01b2dc,A-cc102e,feature_9,2024-02,12,1128,2024-02-06,2024-02-06,0,False,94.0,2.0
S-01bbfe,A-50f3f7,feature_31,2024-10,8,752,2024-10-14,2024-10-14,0,False,94.0,4.0
S-01bbfe,A-50f3f7,feature_38,2023-12,11,3124,2023-12-26,2023-12-26,0,False,284.0,3.0
S-01bbff,A-de24d5,feature_33,2023-03,6,3582,2023-03-13,2023-03-13,0,False,597.0,4.0
S-01bbff,A-de24d5,feature_40,2023-06,9,99,2023-06-11,2023-06-11,0,False,11.0,2.0
S-01bbff,A-de24d5,feature_9,2023-10,14,3192,2023-10-01,2023-10-01,0,False,228.0,1.0
S-01daf5,A-9affe6,feature_2,2024-12,16,3040,2024-12-19,2024-12-19,0,False,190.0,1.0
S-01daf5,A-9affe6,feature_26,2023-08,9,1674,2023-08-25,2023-08-25,0,False,186.0,2.0
S-01daf5,A-9affe6,feature_4,2023-11,8,1304,2023-11-23,2023-11-23,0,False,163.0,1.0
S-01daf5,A-9affe6,feature_40,2024-01,13,5408,2024-01-11,2024-01-11,0,False,416.0,1.0
S-01daf5,A-9affe6,feature_7,2023-12,18,1674,2023-12-01,2023-12-01,0,True,93.0,1.0
S-01daf5,A-9affe6,feature_8,2023-09,13,5681,2023-09-08,2023-09-08,1,False,437.0,2.0
S-01fa46,A-6f50ae,feature_13,2023-05,9,5238,2023-05-16,2023-05-16,0,False,582.0,3.0
S-01fa46,A-6f50ae,feature_30,2023-08,13,5343,2023-08-16,2023-08-16,0,False,411.0,1.0
S-01fa46,A-6f50ae,feature_31,2024-05,10,2410,2024-05-17,2024-05-17,2,False,241.0,1.0
S-01fa46,A-6f50ae,feature_32,2024-10,11,891,2024-10-05,2024-10-05,1,False,81.0,3.0
S-01fa46,A-6f50ae,feature_34,2023-03,11,605,2023-03-21,2023-03-21,0,False,55.0,1.0
S-01fa46,A-6f50ae,feature_38,2024-11,22,4312,2024-11-29,2024-11-29,0,False,196.0,1.0
S-020222,A-02fac6,feature_13,2024-12,5,560,2024-12-16,2024-12-16,0,False,112.0,5.0
S-020222,A-02fac6,feature_14,2023-07,10,5970,2023-07-11,2023-07-11,1,False,597.0,1.0
S-020222,A-02fac6,feature_21,2024-03,11,6094,2024-03-20,2024-03-20,1,False,554.0,2.0
S-020222,A-02fac6,feature_25,2024-08,12,1428,2024-08-12,2024-08-12,1,False,119.0,1.0
S-020222,A-02fac6,feature_28,2024-10,9,2745,2024-10-21,2024-10-21,0,False,305.0,2.0
S-0206eb,A-883b7d,feature_14,2023-09,14,5250,2023-09-12,2023-09-12,0,False,375.0,1.0
S-0206eb,A-883b7d,feature_25,2023-12,10,3560,2023-12-23,2023-12-23,0,False,356.0,2.0
S-0206eb,A-883b7d,feature_31,2023-02,6,294,2023-02-20,2023-02-20,0,True,49.0,1.0
S-0206eb,A-883b7d,feature_31,2023-05,9,1008,2023-05-13,2023-05-13,0,False,112.0,4.0
S-0206eb,A-883b7d,feature_38,2024-12,7,308,2024-12-30,2024-12-30,0,False,44.0,5.0
S-0206eb,A-883b7d,feature_5,2023-11,13,7228,2023-11-11,2023-11-11,1,False,556.0,1.0
S-0206eb,A-883b7d,feature_9,2024-11,6,1806,2024-11-02,2024-11-02,0,True,301.0,3.0
S-020dce,A-10b8da,feature_8,2024-10,7,903,2024-10-28,2024-10-28,0,False,129.0,2.0
S-021004,A-186a44,feature_6,2024-02,9,5274,2024-02-25,2024-02-25,0,False,586.0,1.0
S-021297,A-5ed98d,feature_12,2024-12,10,3970,2024-12-05,2024-12-05,0,False,397.0,1.0
S-021297,A-5ed98d,feature_2,2024-03,11,605,2024-03-09,2024-03-09,0,False,55.0,1.0
S-021985,A-66224b,feature_1,2023-10,11,3707,2023-10-21,2023-10-21,0,True,337.0,3.0
S-021985,A-66224b,feature_13,2023-07,12,2160,2023-07-21,2023-07-21,3,False,180.0,2.0
S-021985,A-66224b,feature_13,2023-12,9,1728,2023-12-27,2023-12-27,0,False,192.0,2.0
S-021985,A-66224b,feature_32,2024-01,13,637,2024-01-09,2024-01-09,0,False,49.0,1.0
S-021985,A-66224b,feature_5,2024-08,11,2926,2024-08-12,2024-08-12,0,False,266.0,3.0
S-021ca9,A-9affe6,feature_14,2024-04,11,4939,2024-04-13,2024-04-13,0,False,449.0,1.0
S-021ca9,A-9affe6,feature_15,2023-03,8,4024,2023-03-21,2023-03-21,0,False,503.0,1.0
S-021ca9,A-9affe6,feature_16,2024-12,14,6188,2024-12-17,2024-12-17,0,False,442.0,2.0
S-021ca9,A-9affe6,feature_8,2023-05,7,3143,2023-05-03,2023-05-03,0,True,449.0,3.0
S-022a1e,A-c42f1f,feature_10,2023-08,11,1958,2023-08-29,2023-08-29,0,False,178.0,1.0
S-022a1e,A-c42f1f,feature_11,2024-05,8,3696,2024-05-09,2024-05-09,0,False,462.0,2.0
S-022a1e,A-c42f1f,feature_21,2023-04,5,2780,2023-04-05,2023-04-05,0,False,556.0,3.0
S-022a1e,A-c42f1f,feature_25,2023-06,5,1750,2023-06-07,2023-06-07,0,True,350.0,4.0
S-022a1e,A-c42f1f,feature_38,2024-07,10,970,2024-07-19,2024-07-19,0,False,97.0,1.0
S-022a1e,A-c42f1f,feature_5,2024-05,10,4870,2024-05-04,2024-05-04,0,False,487.0,1.0
S-023f3c,A-b9eed8,feature_17,2024-01,3,801,2024-01-22,2024-01-22,0,False,267.0,6.0
S-023f3c,A-b9eed8,feature_17,2024-09,9,1629,2024-09-14,2024-09-14,2,False,181.0,4.0
S-023f3c,A-b9eed8,feature_2,2023-04,15,1875,2023-04-28,2023-04-28,0,False,125.0,2.0
S-023f3c,A-b9eed8,feature_24,2023-07,11,836,2023-07-30,2023-07-30,0,False,76.0,1.0
S-023f3c,A-b9eed8,feature_25,2024-03,13,1456,2024-03-05,2024-03-05,0,False,112.0,1.0
S-023f3c,A-b9eed8,feature_36,2024-05,9,2745,2024-05-02,2024-05-02,4,False,305.0,2.0
S-023f5f,A-b2225d,feature_23,2024-01,8,3608,2024-01-20,2024-01-20,0,False,451.0,3.0
S-023f5f,A-b2225d,feature_32,2024-04,8,1432,2024-04-22,2024-04-22,1,False,179.0,3.0
S-023f5f,A-b2225d,feature_34,2023-05,11,1287,2023-05-15,2023-05-15,0,True,117.0,2.0
S-023f5f,A-b2225d,feature_37,2023-01,16,6816,2023-01-23,2023-01-23,0,False,426.0,1.0
S-023f5f,A-b2225d,feature_38,2024-11,8,2128,2024-11-22,2024-11-22,0,False,266.0,4.0
S-023f5f,A-b2225d,feature_7,2024-03,9,2385,2024-03-11,2024-03-11,0,False,265.0,2.0
S-02508a,A-05d3b3,feature_15,2024-10,20,10180,2024-10-15,2024-10-15,0,True,509.0,1.0
S-02508a,A-05d3b3,feature_24,2024-02,17,7616,2024-02-23,2024-02-23,1,False,448.0,1.0
S-02508a,A-05d3b3,feature_36,2023-11,5,635,2023-11-06,2023-11-06,0,False,127.0,4.0
S-02508a,A-05d3b3,feature_4,2023-02,5,610,2023-02-10,2023-02-10,1,False,122.0,3.0
S-02508a,A-05d3b3,feature_6,2023-02,10,4350,2023-02-06,2023-02-06,0,False,435.0,1.0
S-02508a,A-05d3b3,feature_7,2023-03,14,434,2023-03-08,2023-03-08,0,False,31.0,1.0
S-025bea,A-9affe6,feature_1,2023-11,7,1841,2023-11-24,2023-11-24,0,False,263.0,2.0
S-025bea,A-9affe6,feature_11,2024-07,9,1737,2024-07-31,2024-07-31,0,False,193.0,2.0
S-025bea,A-9affe6,feature_17,2023-12,7,2079,2023-12-10,2023-12-10,0,False,297.0,4.0
S-025bea,A-9affe6,feature_19,2024-02,13,5993,2024-02-02,2024-02-02,0,False,461.0,1.0
S-025bea,A-9affe6,feature_4,2024-10,10,4320,2024-10-11,2024-10-11,0,False,432.0,1.0
