subscription_id,account_id,month,change_type,change_amount,mrr,prev_mrr
S-000061,A-6da850,2024-01,new,995.0,995.0,0.0
S-000061,A-6da850,2024-11,churn,-995.0,0.0,995.0
S-000062,A-3b5cd1,2024-11,new,2587.0,2587.0,0.0
S-000063,A-5b4ebb,2024-10,new,1274.0,1274.0,0.0
S-000066,A-87aa7b,2024-06,new,1176.0,1176.0,0.0
S-000066,A-87aa7b,2025-01,churn,-1176.0,0.0,1176.0
S-000067,A-81edc3,2024-06,new,456.0,456.0,0.0
S-000067,A-81edc3,2025-01,churn,-456.0,0.0,456.0
S-000068,A-4437e4,2024-02,new,1323.0,1323.0,0.0
S-000068,A-4437e4,2024-07,churn,-1323.0,0.0,1323.0
S-000069,A-d792a6,2024-07,new,796.0,796.0,0.0
S-000069,A-d792a6,2024-09,churn,-796.0,0.0,796.0
S-00006a,A-08e34e,2024-07,new,686.0,686.0,0.0
S-00006a,A-08e34e,2024-10,churn,-686.0,0.0,686.0
S-00006c,A-aa9511,2024-06,new,1127.0,1127.0,0.0
S-00006d,A-0dbdc6,2024-10,new,5970.0,5970.0,0.0
S-00006e,A-50f3f7,2024-10,new,6169.0,6169.0,0.0
S-00006f,A-4c6f11,2024-08,new,456.0,456.0,0.0
S-00006f,A-4c6f11,2024-11,churn,-456.0,0.0,456.0
S-000070,A-0e966d,2024-11,new,2189.0,2189.0,0.0
S-000071,A-40a557,2024-06,new,784.0,784.0,0.0
S-000072,A-98a59a,2024-05,new,1064.0,1064.0,0.0
S-000072,A-98a59a,2024-10,churn,-1064.0,0.0,1064.0
S-000073,A-474ad4,2024-07,new,833.0,833.0,0.0
S-000074,A-dfbd31,2024-09,new,2107.0,2107.0,0.0
S-000074,A-dfbd31,2025-01,churn,-2107.0,0.0,2107.0
S-000075,A-b7724f,2024-12,new,1349.0,1349.0,0.0
S-000076,A-fa2041,2024-07,new,3184.0,3184.0,0.0
S-000077,A-7d514c,2024-12,new,3383.0,3383.0,0.0
S-000078,A-4d1e75,2024-09,new,980.0,980.0,0.0
S-000079,A-297a2d,2024-08,new,513.0,513.0,0.0
S-00007a,A-30b4ca,2024-08,new,1634.0,1634.0,0.0
S-00007a,A-30b4ca,2024-10,churn,-1634.0,0.0,1634.0
S-00007b,A-425e76,2024-04,new,152.0,152.0,0.0
S-00007b,A-425e76,2024-11,churn,-152.0,0.0,152.0
S-00007c,A-712426,2024-12,new,441.0,441.0,0.0
S-00007c,A-712426,2025-01,churn,-441.0,0.0,441.0
S-00007e,A-4437e4,2024-02,new,2401.0,2401.0,0.0
S-00007e,A-4437e4,2024-07,churn,-2401.0,0.0,2401.0
S-00007f,A-f19b24,2024-03,new,1421.0,1421.0,0.0
S-000080,A-f44180,2023-08,new,1791.0,1791.0,0.0
S-000081,A-883b7d,2024-05,new,4975.0,4975.0,0.0
S-000082,A-4a4c2d,2024-10,new,1026.0,1026.0,0.0
S-000083,A-8e47ca,2024-04,new,6169.0,6169.0,0.0
S-000083,A-8e47ca,2025-01,churn,-6169.0,0.0,6169.0
S-000084,A-4437e4,2024-08,new,209.0,209.0,0.0
S-000085,A-eb2fdc,2024-05,new,9353.0,9353.0,0.0
S-000085,A-eb2fdc,2024-06,churn,-9353.0,0.0,9353.0
S-000086,A-b9eed8,2024-11,new,342.0,342.0,0.0
S-000087,A-a33200,2024-11,new,551.0,551.0,0.0
S-000088,A-bd4513,2024-12,new,9950.0,9950.0,0.0
S-000089,A-241e75,2024-07,new,2254.0,2254.0,0.0
S-000089,A-241e75,2025-01,churn,-2254.0,0.0,2254.0
S-00008a,A-bc4d48,2024-11,new,6965.0,6965.0,0.0
S-00008c,A-88c6ca,2024-11,new,995.0,995.0,0.0
S-00008e,A-0a282f,2024-10,new,398.0,398.0,0.0
S-00008e,A-0a282f,2025-01,churn,-398.0,0.0,398.0
S-00008f,A-ff3c73,2024-09,new,855.0,855.0,0.0
S-000090,A-3b5cd1,2024-12,new,6368.0,6368.0,0.0
S-000091,A-eafc6e,2024-08,new,5373.0,5373.0,0.0
S-000091,A-eafc6e,2025-01,churn,-5373.0,0.0,5373.0
S-000092,A-712426,2024-12,new,637.0,637.0,0.0
S-000092,A-712426,2025-01,churn,-637.0,0.0,637.0
S-000093,A-ced9aa,2024-11,new,147.0,147.0,0.0
S-000094,A-2d1036,2024-07,new,1311.0,1311.0,0.0
S-000094,A-2d1036,2024-11,churn,-1311.0,0.0,1311.0
S-000096,A-9123ac,2024-10,new,3582.0,3582.0,0.0
S-000096,A-9123ac,2024-11,churn,-3582.0,0.0,3582.0
S-000097,A-0651a4,2024-12,new,12935.0,12935.0,0.0
S-000097,A-0651a4,2025-01,churn,-12935.0,0.0,12935.0
S-000098,A-f17767,2024-03,new,441.0,441.0,0.0
S-000099,A-4d1e75,2024-11,new,1911.0,1911.0,0.0
S-00009a,A-dfbd31,2024-10,new,2940.0,2940.0,0.0
S-00009a,A-dfbd31,2025-01,churn,-2940.0,0.0,2940.0
S-00009b,A-462d45,2024-03,new,882.0,882.0,0.0
S-00009b,A-462d45,2024-06,churn,-882.0,0.0,882.0
S-00009c,A-5a3eb9,2023-09,new,882.0,882.0,0.0
S-00009c,A-5a3eb9,2024-07,churn,-882.0,0.0,882.0
S-00009d,A-f19409,2024-10,new,1127.0,1127.0,0.0
S-00009e,A-0aaf6e,2024-12,new,588.0,588.0,0.0
S-00009e,A-0aaf6e,2025-01,churn,-588.0,0.0,588.0
S-00009f,A-712f1c,2024-05,new,1862.0,1862.0,0.0
S-00009f,A-712f1c,2024-11,churn,-1862.0,0.0,1862.0
S-0000a0,A-039727,2024-12,new,475.0,475.0,0.0
S-0000a0,A-039727,2025-01,churn,-475.0,0.0,475.0
S-0000a1,A-bc87bc,2024-12,new,152.0,152.0,0.0
S-0000a2,A-69fad4,2023-07,new,285.0,285.0,0.0
S-0000a2,A-69fad4,2024-07,churn,-285.0,0.0,285.0
S-0000a3,A-d5a319,2024-07,new,2985.0,2985.0,0.0
S-0000a4,A-82d8a6,2024-12,new,784.0,784.0,0.0
S-0000a4,A-82d8a6,2025-01,churn,-784.0,0.0,784.0
S-0000a5,A-ac9111,2024-12,new,399.0,399.0,0.0
S-0000a6,A-2ebb4b,2024-05,new,2009.0,2009.0,0.0
S-0000a6,A-2ebb4b,2025-01,churn,-2009.0,0.0,2009.0
S-0000a7,A-69b156,2024-04,new,343.0,343.0,0.0
S-0000a7,A-69b156,2024-08,churn,-343.0,0.0,343.0
S-0000a9,A-6f50ae,2024-12,new,3781.0,3781.0,0.0
S-0000aa,A-8bde0c,2024-12,new,588.0,588.0,0.0
S-0000aa,A-8bde0c,2025-01,churn,-588.0,0.0,588.0
S-0000ab,A-503d5a,2024-06,new,294.0,294.0,0.0
S-0000ad,A-544d0a,2024-09,new,1421.0,1421.0,0.0
S-0000ae,A-86fc1d,2024-08,new,2744.0,2744.0,0.0
S-0000ae,A-86fc1d,2024-09,churn,-2744.0,0.0,2744.0
S-0000af,A-c222ab,2024-08,new,1568.0,1568.0,0.0
S-0000af,A-c222ab,2024-11,churn,-1568.0,0.0,1568.0
S-0000b0,A-71615e,2024-07,new,2985.0,2985.0,0.0
S-0000b0,A-71615e,2024-08,churn,-2985.0,0.0,2985.0
S-0000b2,A-44dc83,2024-06,new,456.0,456.0,0.0
S-0000b2,A-44dc83,2024-12,churn,-456.0,0.0,456.0
S-0000b3,A-2e4581,2024-10,new,441.0,441.0,0.0
S-0000b3,A-2e4581,2025-01,churn,-441.0,0.0,441.0
S-0000b4,A-993085,2023-08,new,589.0,589.0,0.0
S-0000b4,A-993085,2024-02,churn,-589.0,0.0,589.0
S-0000b5,A-8adedc,2024-07,new,3184.0,3184.0,0.0
S-0000b5,A-8adedc,2024-11,churn,-3184.0,0.0,3184.0
S-0000b7,A-1e1b80,2024-07,new,9950.0,9950.0,0.0
S-0000b7,A-1e1b80,2024-12,churn,-9950.0,0.0,9950.0
S-0000b8,A-cc98bc,2023-07,new,6368.0,6368.0,0.0
S-0000ba,A-17939a,2024-12,new,1519.0,1519.0,0.0
S-0000bb,A-e7a1e2,2024-12,new,8756.0,8756.0,0.0
S-0000bc,A-e40f45,2024-05,new,2156.0,2156.0,0.0
S-0000bc,A-e40f45,2024-12,churn,-2156.0,0.0,2156.0
S-0000bd,A-e1462e,2023-07,new,735.0,735.0,0.0
S-0000bd,A-e1462e,2025-01,churn,-735.0,0.0,735.0
S-0000be,A-86fc1d,2024-08,new,5572.0,5572.0,0.0
S-0000bf,A-f17767,2023-09,new,1274.0,1274.0,0.0
S-0000c0,A-a45270,2024-09,new,551.0,551.0,0.0
S-0000c0,A-a45270,2024-12,churn,-551.0,0.0,551.0
S-0000c1,A-58b9ff,2024-10,new,418.0,418.0,0.0
S-0000c2,A-029f69,2024-12,new,490.0,490.0,0.0
S-0000c2,A-029f69,2025-01,churn,-490.0,0.0,490.0
S-0000c3,A-90a8c8,2024-09,new,5572.0,5572.0,0.0
S-0000c4,A-e6afc1,2024-07,new,3184.0,3184.0,0.0
S-0000c5,A-bece89,2024-05,new,5174.0,5174.0,0.0
S-0000c5,A-bece89,2024-08,churn,-5174.0,0.0,5174.0
S-0000c7,A-65aeb5,2024-02,new,171.0,171.0,0.0
S-0000c7,A-65aeb5,2025-01,churn,-171.0,0.0,171.0
S-0000c8,A-a6d261,2024-02,new,441.0,441.0,0.0
S-0000c8,A-a6d261,2024-04,churn,-441.0,0.0,441.0
S-0000c9,A-94f8c9,2024-04,new,2587.0,2587.0,0.0
S-0000c9,A-94f8c9,2024-06,churn,-2587.0,0.0,2587.0
S-0000ca,A-7988d1,2024-05,new,627.0,627.0,0.0
S-0000ca,A-7988d1,2025-01,churn,-627.0,0.0,627.0
S-0000cb,A-b9f5b1,2024-08,new,817.0,817.0,0.0
S-0000cc,A-0a282f,2024-11,new,49.0,49.0,0.0
S-0000cc,A-0a282f,2025-01,churn,-49.0,0.0,49.0
S-0000ce,A-1b707d,2024-01,new,637.0,637.0,0.0
S-0000cf,A-328bd0,2024-02,new,342.0,342.0,0.0
S-0000d0,A-eb7fac,2024-01,new,343.0,343.0,0.0
S-0000d0,A-eb7fac,2024-05,churn,-343.0,0.0,343.0
S-0000d1,A-9c18c4,2023-11,new,2388.0,2388.0,0.0
S-0000d2,A-2e3bad,2024-01,new,2989.0,2989.0,0.0
S-0000d2,A-2e3bad,2024-04,churn,-2989.0,0.0,2989.0
S-0000d3,A-427b69,2024-10,new,833.0,833.0,0.0
S-0000d4,A-faa28c,2024-12,new,2352.0,2352.0,0.0
S-0000d5,A-68f37c,2023-08,new,796.0,796.0,0.0
S-0000d5,A-68f37c,2024-07,churn,-796.0,0.0,796.0
S-0000d6,A-6c093d,2024-03,new,343.0,343.0,0.0
S-0000d6,A-6c093d,2024-10,churn,-343.0,0.0,343.0
S-0000d8,A-c222ab,2024-10,new,608.0,608.0,0.0
S-0000da,A-4a4c2d,2023-12,new,10746.0,10746.0,0.0
S-0000dd,A-158f4e,2023-10,new,2989.0,2989.0,0.0
S-0000dd,A-158f4e,2025-01,churn,-2989.0,0.0,2989.0
S-0000df,A-e89151,2024-11,new,1519.0,1519.0,0.0
S-0000e0,A-4ef964,2024-11,new,323.0,323.0,0.0
S-0000e1,A-2ebb4b,2024-05,new,779.0,779.0,0.0
S-0000e1,A-2ebb4b,2025-01,churn,-779.0,0.0,779.0
S-0000e2,A-e1b9cd,2023-11,new,7960.0,7960.0,0.0
S-0000e2,A-e1b9cd,2024-07,churn,-7960.0,0.0,7960.0
S-0000e3,A-1e1b80,2024-03,new,9950.0,9950.0,0.0
S-0000e3,A-1e1b80,2024-12,churn,-9950.0,0.0,9950.0
S-0000e4,A-7cfe77,2024-08,new,1311.0,1311.0,0.0
S-0000e4,A-7cfe77,2025-01,churn,-1311.0,0.0,1311.0
S-0000e6,A-854864,2024-12,new,980.0,980.0,0.0
S-0000e8,A-c7ffc2,2023-11,new,5970.0,5970.0,0.0
S-0000e8,A-c7ffc2,2023-12,churn,-5970.0,0.0,5970.0
S-0000e9,A-337bc1,2024-03,new,6169.0,6169.0,0.0
S-0000ea,A-271f46,2023-07,new,722.0,722.0,0.0
S-0000ea,A-271f46,2024-09,churn,-722.0,0.0,722.0
S-0000eb,A-2e3bad,2024-09,new,12139.0,12139.0,0.0
S-0000ec,A-3c1a3f,2024-09,new,597.0,597.0,0.0
S-0000ee,A-712426,2024-11,new,686.0,686.0,0.0
S-0000ee,A-712426,2025-01,churn,-686.0,0.0,686.0
S-0000f0,A-fabe19,2024-12,new,6368.0,6368.0,0.0
S-0000f0,A-fabe19,2025-01,churn,-6368.0,0.0,6368.0
S-0000f1,A-7988d1,2024-08,new,1617.0,1617.0,0.0
S-0000f1,A-7988d1,2025-01,churn,-1617.0,0.0,1617.0
S-0000f2,A-6843f2,2024-12,new,4179.0,4179.0,0.0
S-0000f3,A-902ef7,2024-11,new,1577.0,1577.0,0.0
S-0000f4,A-17939a,2024-12,new,49.0,49.0,0.0
S-0000f6,A-fdfc91,2023-09,new,551.0,551.0,0.0
S-0000f7,A-fa3095,2024-06,new,1330.0,1330.0,0.0
S-0000f8,A-18793f,2024-12,new,2812.0,2812.0,0.0
S-0000f8,A-18793f,2025-01,churn,-2812.0,0.0,2812.0
S-0000f9,A-98a59a,2023-09,new,1064.0,1064.0,0.0
S-0000f9,A-98a59a,2024-10,churn,-1064.0,0.0,1064.0
S-0000fa,A-7988d1,2024-09,new,627.0,627.0,0.0
S-0000fa,A-7988d1,2024-12,churn,-627.0,0.0,627.0
S-0000fb,A-39ddf4,2024-12,new,1960.0,1960.0,0.0
S-0000fc,A-31ab9a,2024-04,new,597.0,597.0,0.0
S-0000fc,A-31ab9a,2024-10,churn,-597.0,0.0,597.0
S-0000fd,A-cea1f0,2024-06,new,570.0,570.0,0.0
S-0000fe,A-eb7c38,2024-10,new,6965.0,6965.0,0.0
S-0000ff,A-e51ec7,2024-12,new,1990.0,1990.0,0.0
S-000100,A-a1b80b,2024-08,new,784.0,784.0,0.0
S-000101,A-59f724,2024-01,new,4378.0,4378.0,0.0
S-000102,A-cab532,2024-11,new,1029.0,1029.0,0.0
S-000103,A-7f29a7,2024-12,new,779.0,779.0,0.0
S-000104,A-6da850,2024-11,new,392.0,392.0,0.0
S-000104,A-6da850,2025-01,churn,-392.0,0.0,392.0
S-000105,A-2d4502,2024-07,new,8159.0,8159.0,0.0
S-000106,A-9badbd,2024-08,new,323.0,323.0,0.0
S-000107,A-139c3b,2024-11,new,551.0,551.0,0.0
S-000108,A-1b707d,2024-11,new,456.0,456.0,0.0
S-000109,A-55f257,2024-03,new,686.0,686.0,0.0
S-00010a,A-b07b56,2024-11,new,475.0,475.0,0.0
S-00010a,A-b07b56,2025-01,churn,-475.0,0.0,475.0
S-00010b,A-ac14bb,2024-01,new,14129.0,14129.0,0.0
S-00010b,A-ac14bb,2024-11,churn,-14129.0,0.0,14129.0
S-00010c,A-05f0e5,2024-11,new,2842.0,2842.0,0.0
S-00010c,A-05f0e5,2024-12,churn,-2842.0,0.0,2842.0
S-00010d,A-6843f2,2024-12,new,399.0,399.0,0.0
S-00010e,A-9f9299,2023-11,new,5572.0,5572.0,0.0
S-00010e,A-9f9299,2024-08,churn,-5572.0,0.0,5572.0
S-00010f,A-7920cc,2024-03,new,10746.0,10746.0,0.0
S-000110,A-bcf87c,2024-08,new,490.0,490.0,0.0
S-000111,A-1b9609,2024-08,new,5970.0,5970.0,0.0
S-000111,A-1b9609,2024-12,churn,-5970.0,0.0,5970.0
S-000112,A-bcf87c,2024-11,new,1029.0,1029.0,0.0
S-000114,A-fa3095,2024-07,new,13930.0,13930.0,0.0
S-000116,A-e888d1,2023-09,new,3184.0,3184.0,0.0
S-000116,A-e888d1,2024-12,churn,-3184.0,0.0,3184.0
S-000117,A-cb6cc6,2023-08,new,247.0,247.0,0.0
S-000118,A-f9cc74,2024-10,new,5970.0,5970.0,0.0
S-000119,A-2b9d3e,2023-11,new,995.0,995.0,0.0
S-00011c,A-149a69,2024-12,new,6766.0,6766.0,0.0
S-00011d,A-18793f,2024-12,new,29452.0,29452.0,0.0
S-00011d,A-18793f,2025-01,churn,-29452.0,0.0,29452.0
S-00011e,A-e83938,2024-06,new,245.0,245.0,0.0
S-00011e,A-e83938,2025-01,churn,-245.0,0.0,245.0
S-000120,A-dbc825,2024-04,new,931.0,931.0,0.0
S-000121,A-dbc825,2024-11,new,361.0,361.0,0.0
S-000122,A-118d55,2024-12,new,5771.0,5771.0,0.0
S-000122,A-118d55,2025-01,churn,-5771.0,0.0,5771.0
S-000123,A-9f2731,2024-11,new,1617.0,1617.0,0.0
S-000123,A-9f2731,2025-01,churn,-1617.0,0.0,1617.0
S-000124,A-00bed1,2024-07,new,5572.0,5572.0,0.0
S-000125,A-40906c,2024-11,new,4508.0,4508.0,0.0
S-000126,A-d792a6,2024-04,new,196.0,196.0,0.0
S-000126,A-d792a6,2024-09,churn,-196.0,0.0,196.0
S-000127,A-8ae05d,2024-06,new,1634.0,1634.0,0.0
S-000127,A-8ae05d,2024-09,churn,-1634.0,0.0,1634.0
S-000128,A-0a62f5,2024-12,new,475.0,475.0,0.0
S-000128,A-0a62f5,2025-01,churn,-475.0,0.0,475.0
S-000129,A-a7bd4b,2024-05,new,2499.0,2499.0,0.0
S-000129,A-a7bd4b,2024-11,churn,-2499.0,0.0,2499.0
S-00012a,A-82d8a6,2024-12,new,1813.0,1813.0,0.0
S-00012a,A-82d8a6,2025-01,churn,-1813.0,0.0,1813.0
S-00012b,A-0be015,2024-11,new,456.0,456.0,0.0
S-00012b,A-0be015,2025-01,churn,-456.0,0.0,456.0
S-00012c,A-1ac5e0,2024-11,new,6567.0,6567.0,0.0
S-00012d,A-db5e9e,2024-12,new,1127.0,1127.0,0.0
S-00012d,A-db5e9e,2025-01,churn,-1127.0,0.0,1127.0
S-00012e,A-d4ac0e,2024-08,new,513.0,513.0,0.0
S-000130,A-378b99,2024-09,new,931.0,931.0,0.0
S-000130,A-378b99,2024-11,churn,-931.0,0.0,931.0
S-000132,A-410e86,2024-11,new,4776.0,4776.0,0.0
S-000133,A-30b4ca,2024-10,new,1634.0,1634.0,0.0
S-000135,A-503d5a,2024-12,new,11144.0,11144.0,0.0
S-000136,A-f3ff05,2024-08,new,196.0,196.0,0.0
S-000136,A-f3ff05,2024-11,churn,-196.0,0.0,196.0
S-000137,A-ed510f,2024-09,new,2058.0,2058.0,0.0
S-000138,A-7f4db3,2023-03,new,196.0,196.0,0.0
S-000138,A-7f4db3,2024-07,churn,-196.0,0.0,196.0
S-000139,A-c4ea60,2024-07,new,882.0,882.0,0.0
S-00013a,A-dfbd31,2024-12,new,1715.0,1715.0,0.0
S-00013a,A-dfbd31,2025-01,churn,-1715.0,0.0,1715.0
S-00013b,A-02cd81,2024-06,new,2156.0,2156.0,0.0
S-00013c,A-4a4c2d,2023-07,new,1026.0,1026.0,0.0
S-00013c,A-4a4c2d,2024-02,churn,-1026.0,0.0,1026.0
S-00013e,A-ac85cd,2024-11,new,2597.0,2597.0,0.0
