churn_event_id,account_id,churn_date,reason_code,refund_amount_usd,preceding_upgrade_flag,preceding_downgrade_flag,is_reactivation,feedback_text,dirty_row_flag,dirty_row_reason,refund_amount_clean
C-05bc56,A-533452,17-11-2024,features,0,FALSE,TRUE,TRUE,missing features,False,,0.0
C-065699,A-c16cf7,07-12-2024,support,0,FALSE,FALSE,FALSE,too expensive,False,,0.0
C-06a2e6,A-bbc346,31-10-2024,competitor,0,TRUE,FALSE,FALSE,too expensive,False,,0.0
C-06b32c,A-2ebb4b,19-08-2023,pricing,0,FALSE,FALSE,FALSE,missing features,False,,0.0
C-07be44,A-751c58,05-11-2024,budget,0,FALSE,FALSE,TRUE,missing features,False,,0.0
C-07ec1f,A-bbc346,03-11-2024,competitor,15.46,FALSE,FALSE,FALSE,switched to competitor,False,,15.46
C-07f6e3,A-e888d1,06-06-2023,budget,0,FALSE,FALSE,FALSE,too expensive,False,,0.0
C-07fd6b,A-e351e1,30-10-2024,unknown,113.84,FALSE,TRUE,FALSE,missing features,False,,113.84
C-08b126,A-0cc442,26-09-2024,budget,0,TRUE,FALSE,TRUE,too expensive,False,,0.0
C-08d3b3,A-3f9cc0,21-12-2024,budget,0,FALSE,FALSE,TRUE,switched to competitor,False,,0.0
C-09b7c7,A-08e34e,01-09-2024,features,3.57,FALSE,FALSE,FALSE,missing features,False,,3.57
C-0a0bf7,A-d49cc5,12-04-2024,competitor,0,FALSE,FALSE,FALSE,missing features,False,,0.0
C-0af764,A-ccabf0,05-05-2024,competitor,0,TRUE,FALSE,FALSE,too expensive,False,,0.0
C-0b2d8c,A-1b9609,02-01-2024,unknown,0,FALSE,FALSE,FALSE,switched to competitor,False,,0.0
C-0ba0a0,A-22d9d2,17-10-2024,pricing,0,FALSE,FALSE,FALSE,,True,"[""blank_feedback_text""]",0.0
C-0baa74,A-558c72,28-11-2024,support,43.01,FALSE,FALSE,FALSE,switched to competitor,False,,43.01
C-0c829f,A-c7ffc2,15-04-2023,budget,0,FALSE,FALSE,FALSE,too expensive,False,,0.0
C-0d470e,A-7a0d69,29-12-2024,budget,0,TRUE,FALSE,FALSE,,True,"[""blank_feedback_text""]",0.0
C-0d5e99,A-68f37c,29-06-2024,unknown,0,FALSE,FALSE,TRUE,too expensive,False,,0.0
C-0e273d,A-4e0e85,14-03-2024,pricing,0,FALSE,FALSE,FALSE,,True,"[""blank_feedback_text""]",0.0
C-0ec68d,A-e83938,19-02-2024,features,0,FALSE,FALSE,FALSE,too expensive,False,,0.0
C-0f0386,A-751c58,17-09-2024,budget,64.22,FALSE,FALSE,FALSE,switched to competitor,False,,64.22
C-0f75be,A-0baac2,18-10-2024,features,30.73,FALSE,FALSE,FALSE,too expensive,False,,30.73
C-100b97,A-0a282f,06-10-2024,features,0,FALSE,FALSE,FALSE,switched to competitor,False,,0.0
C-102614,A-96e141,22-07-2024,budget,43.53,FALSE,FALSE,FALSE,too expensive,False,,43.53
C-105c4c,A-0a62f5,07-12-2024,budget,21.95,FALSE,TRUE,FALSE,,True,"[""blank_feedback_text""]",21.95
C-108b2a,A-e08cd3,21-09-2024,competitor,0,FALSE,FALSE,FALSE,switched to competitor,False,,0.0
C-109d03,A-1f0ac7,08-11-2024,support,0,TRUE,FALSE,FALSE,missing features,False,,0.0
C-10ce15,A-029f69,14-12-2024,competitor,32.73,FALSE,FALSE,FALSE,too expensive,False,,32.73
C-1124ed,A-439b2f,02-08-2024,pricing,17.06,FALSE,FALSE,TRUE,,True,"[""blank_feedback_text""]",17.06
C-1172fe,A-4a267b,17-06-2024,support,64.54,FALSE,FALSE,FALSE,missing features,False,,64.54
C-118bea,A-65aeb5,02-12-2024,budget,0,TRUE,FALSE,TRUE,missing features,False,,0.0
C-13ca3a,A-313be3,23-03-2024,features,43.03,FALSE,FALSE,FALSE,too expensive,False,,43.03
C-13f833,A-4d1e75,05-09-2024,budget,0,FALSE,FALSE,FALSE,missing features,False,,0.0
C-149fc9,A-e1462e,05-12-2024,competitor,0,FALSE,FALSE,FALSE,switched to competitor,False,,0.0
C-14ac13,A-68f37c,18-12-2024,features,0,FALSE,FALSE,TRUE,too expensive,False,,0.0
C-151fb1,A-fd7ad3,19-12-2024,support,0,TRUE,FALSE,TRUE,missing features,False,,0.0
C-155feb,A-82861f,17-05-2024,support,0,FALSE,FALSE,FALSE,,True,"[""blank_feedback_text""]",0.0
C-156544,A-d42431,12-10-2024,budget,17.42,TRUE,FALSE,FALSE,switched to competitor,False,,17.42
C-16ddba,A-b2225d,16-05-2024,support,0,TRUE,FALSE,FALSE,switched to competitor,False,,0.0
C-16ef52,A-9b9fe9,04-09-2024,features,0,FALSE,FALSE,FALSE,switched to competitor,False,,0.0
C-17044c,A-bcf664,04-10-2024,features,75.32,FALSE,FALSE,TRUE,too expensive,False,,75.32
C-1727c8,A-65aeb5,27-02-2024,pricing,0,FALSE,FALSE,FALSE,,True,"[""blank_feedback_text""]",0.0
C-17377e,A-ee42db,07-03-2024,pricing,0,FALSE,FALSE,FALSE,missing features,False,,0.0
C-178070,A-337bc1,21-10-2023,support,0,FALSE,FALSE,FALSE,too expensive,False,,0.0
C-17fb24,A-cc1d8d,19-12-2024,unknown,217.22,FALSE,FALSE,FALSE,too expensive,False,,217.22
C-18b303,A-7641d3,07-06-2024,unknown,96.35,FALSE,FALSE,FALSE,missing features,False,,96.35
C-190a42,A-5fe118,16-12-2024,features,114.86,FALSE,FALSE,FALSE,,True,"[""blank_feedback_text""]",114.86
C-192e1d,A-716841,13-11-2024,unknown,0,FALSE,FALSE,FALSE,too expensive,False,,0.0
C-193426,A-7988d1,24-12-2024,unknown,0,FALSE,FALSE,FALSE,missing features,False,,0.0
C-1965c1,A-9f9299,08-10-2024,competitor,0,FALSE,FALSE,FALSE,,True,"[""blank_feedback_text""]",0.0
C-1a5a14,A-104f1a,06-09-2024,support,0,FALSE,FALSE,FALSE,too expensive,False,,0.0
C-1b0bb3,A-81edc3,21-09-2024,pricing,10.91,FALSE,FALSE,FALSE,too expensive,False,,10.91
C-1cea52,A-310452,25-12-2024,budget,0,TRUE,FALSE,FALSE,,True,"[""blank_feedback_text""]",0.0
C-1cf079,A-354f12,19-09-2024,competitor,0,FALSE,TRUE,FALSE,missing features,False,,0.0
C-1dce6d,A-751c58,16-12-2024,budget,0,FALSE,FALSE,FALSE,too expensive,False,,0.0
C-1e0b1a,A-016043,11-08-2024,competitor,84.75,FALSE,FALSE,FALSE,switched to competitor,False,,84.75
C-1e4b49,A-e5d6ab,24-04-2023,features,0,FALSE,FALSE,FALSE,switched to competitor,False,,0.0
C-1eead2,A-5790f4,26-12-2024,support,51.18,TRUE,FALSE,FALSE,too expensive,False,,51.18
C-1f4cc0,A-56962b,26-08-2024,pricing,0,TRUE,FALSE,FALSE,,True,"[""blank_feedback_text""]",0.0
C-1f5828,A-2edab2,21-12-2023,unknown,168.73,FALSE,FALSE,FALSE,switched to competitor,False,,168.73
C-1f8fd5,A-e351e1,04-12-2024,support,0,TRUE,TRUE,TRUE,,True,"[""blank_feedback_text""]",0.0
C-1f9cf2,A-1e50e0,26-04-2024,pricing,0,FALSE,FALSE,FALSE,switched to competitor,False,,0.0
C-211191,A-781cc0,12-10-2024,support,0,TRUE,FALSE,FALSE,,True,"[""blank_feedback_text""]",0.0
C-217360,A-76fa4d,03-12-2024,pricing,31.49,FALSE,FALSE,FALSE,too expensive,False,,31.49
C-21efb6,A-fa2041,13-07-2024,competitor,0,FALSE,FALSE,FALSE,switched to competitor,False,,0.0
C-2299d7,A-fd7ad3,23-11-2024,support,0,FALSE,FALSE,FALSE,too expensive,False,,0.0
C-22b92e,A-32fb14,03-04-2024,features,0,FALSE,FALSE,FALSE,too expensive,False,,0.0
C-22d30d,A-d3c88e,18-11-2024,support,0,FALSE,FALSE,FALSE,too expensive,False,,0.0
C-22f536,A-e5d6ab,11-05-2024,competitor,0,TRUE,FALSE,FALSE,,True,"[""blank_feedback_text""]",0.0
C-234aa7,A-832ec2,19-12-2023,unknown,0,FALSE,FALSE,FALSE,too expensive,False,,0.0
C-23a031,A-5247b3,16-10-2024,pricing,0,FALSE,FALSE,FALSE,,True,"[""blank_feedback_text""]",0.0
C-23b1d0,A-2446e3,29-07-2024,unknown,47.06,FALSE,FALSE,FALSE,,True,"[""blank_feedback_text""]",47.06
C-23ca8f,A-d77f4c,03-10-2024,unknown,0,FALSE,TRUE,FALSE,,True,"[""blank_feedback_text""]",0.0
C-23d5a9,A-54ecc2,22-09-2024,pricing,0,FALSE,FALSE,FALSE,too expensive,False,,0.0
C-23df1e,A-18793f,30-12-2024,support,25.41,TRUE,FALSE,FALSE,,True,"[""blank_feedback_text""]",25.41
C-2447b3,A-c45b23,24-03-2024,support,0,FALSE,FALSE,TRUE,missing features,False,,0.0
C-248550,A-2922b6,25-12-2024,competitor,0,FALSE,FALSE,FALSE,missing features,False,,0.0
C-249af9,A-ac14bb,29-08-2024,pricing,128.79,FALSE,FALSE,FALSE,switched to competitor,False,,128.79
C-258ade,A-5f2961,28-11-2024,pricing,6.6,FALSE,FALSE,FALSE,switched to competitor,False,,6.6
C-25c0d2,A-e693b6,10-10-2024,budget,0,FALSE,TRUE,FALSE,missing features,False,,0.0
C-2608a3,A-bf7919,17-12-2024,features,0,FALSE,TRUE,FALSE,too expensive,False,,0.0
C-260dec,A-202b67,14-09-2024,pricing,9.28,FALSE,FALSE,FALSE,,True,"[""blank_feedback_text""]",9.28
C-26576c,A-dbc825,14-01-2024,features,0,FALSE,FALSE,FALSE,too expensive,False,,0.0
C-26865a,A-854864,24-12-2024,support,8.47,TRUE,FALSE,FALSE,switched to competitor,False,,8.47
C-2698c2,A-9208f0,18-11-2023,features,0,FALSE,FALSE,FALSE,switched to competitor,False,,0.0
C-27770c,A-7988d1,19-06-2024,competitor,16.89,FALSE,FALSE,FALSE,too expensive,False,,16.89
C-27e9c1,A-c16b88,01-06-2024,competitor,0,TRUE,FALSE,FALSE,switched to competitor,False,,0.0
C-28085c,A-4bfa33,21-12-2024,budget,92.5,FALSE,FALSE,FALSE,,True,"[""blank_feedback_text""]",92.5
C-2886ac,A-bcbe98,25-11-2024,competitor,0,FALSE,FALSE,FALSE,missing features,False,,0.0
C-29b7f7,A-8ae05d,30-08-2024,unknown,0,FALSE,FALSE,FALSE,missing features,False,,0.0
C-2a64c7,A-029f69,17-06-2024,budget,0,FALSE,FALSE,FALSE,,True,"[""blank_feedback_text""]",0.0
C-2b7d9b,A-180abf,09-03-2024,support,0,FALSE,TRUE,FALSE,,True,"[""blank_feedback_text""]",0.0
C-2bf465,A-84ebe4,20-01-2024,support,0,FALSE,FALSE,FALSE,missing features,False,,0.0
C-2c410a,A-712426,23-12-2024,features,0,TRUE,FALSE,TRUE,missing features,False,,0.0
C-2c86b1,A-afa505,02-03-2024,support,0,TRUE,FALSE,FALSE,missing features,False,,0.0
C-2c9dae,A-b179bf,25-11-2024,features,0,FALSE,FALSE,FALSE,,True,"[""blank_feedback_text""]",0.0
C-2cccb0,A-692f18,23-12-2024,support,0,TRUE,FALSE,FALSE,switched to competitor,False,,0.0
C-2ce12e,A-712426,26-11-2024,pricing,0,FALSE,FALSE,TRUE,,True,"[""blank_feedback_text""]",0.0
C-2cec1c,A-712f1c,24-10-2024,budget,68.99,FALSE,FALSE,FALSE,,True,"[""blank_feedback_text""]",68.99
C-2cec7e,A-ce550d,28-12-2024,budget,0,TRUE,FALSE,FALSE,too expensive,False,,0.0
C-2d03fc,A-e43bf7,24-06-2023,pricing,0,FALSE,FALSE,FALSE,missing features,False,,0.0
C-2d0569,A-c7ffc2,11-11-2023,features,174.92,FALSE,FALSE,FALSE,missing features,False,,174.92
C-2d4533,A-117171,22-10-2024,features,102.86,FALSE,FALSE,FALSE,switched to competitor,False,,102.86
C-2d659a,A-72799b,05-05-2024,pricing,0,TRUE,FALSE,FALSE,switched to competitor,False,,0.0
C-2d8e22,A-fce879,07-10-2024,support,0,FALSE,FALSE,FALSE,switched to competitor,False,,0.0
C-2dbe71,A-c222ab,14-06-2024,budget,4.52,FALSE,FALSE,FALSE,too expensive,False,,4.52
C-2de339,A-e83938,29-12-2024,budget,13.5,FALSE,FALSE,FALSE,,True,"[""blank_feedback_text""]",13.5
C-2e2966,A-526d93,10-07-2024,features,34.4,TRUE,FALSE,FALSE,,True,"[""blank_feedback_text""]",34.4
C-2e2a3f,A-7df7a7,10-07-2024,budget,0,FALSE,FALSE,FALSE,missing features,False,,0.0
C-2e2f04,A-2d1036,19-10-2024,budget,0,TRUE,FALSE,FALSE,missing features,False,,0.0
C-2e9b92,A-855a48,01-08-2024,unknown,7.92,FALSE,FALSE,FALSE,too expensive,False,,7.92
C-2f61e8,A-ad3abd,12-07-2023,competitor,0,FALSE,FALSE,FALSE,,True,"[""blank_feedback_text""]",0.0
C-2f95dd,A-f19409,26-03-2023,competitor,0,FALSE,TRUE,FALSE,switched to competitor,False,,0.0
C-2fb169,A-0532a9,09-10-2024,pricing,2.4,FALSE,FALSE,FALSE,too expensive,False,,2.4
C-2fc9c4,A-b30291,03-09-2024,competitor,277.54,FALSE,TRUE,FALSE,too expensive,False,,277.54
C-3003bc,A-c58f49,03-09-2024,unknown,152.36,FALSE,FALSE,FALSE,too expensive,False,,152.36
C-3018d4,A-34ea2f,19-10-2024,unknown,1.85,TRUE,FALSE,FALSE,too expensive,False,,1.85
C-30462f,A-bb1486,21-11-2024,budget,0,FALSE,FALSE,FALSE,switched to competitor,False,,0.0
C-307676,A-05f0e5,14-01-2024,unknown,0,TRUE,FALSE,FALSE,missing features,False,,0.0
C-3091b6,A-eb1312,03-10-2024,unknown,0,FALSE,FALSE,FALSE,,True,"[""blank_feedback_text""]",0.0
C-31a49a,A-9123ac,05-04-2024,support,0,TRUE,FALSE,TRUE,too expensive,False,,0.0
C-326d32,A-34d880,20-12-2024,unknown,10.4,FALSE,FALSE,FALSE,missing features,False,,10.4
C-3292be,A-592832,04-10-2024,support,22.66,FALSE,FALSE,FALSE,switched to competitor,False,,22.66
C-33c706,A-ffdfd5,08-08-2024,features,0,FALSE,FALSE,FALSE,missing features,False,,0.0
C-33fc6a,A-c16101,19-12-2024,features,0,FALSE,TRUE,FALSE,,True,"[""blank_feedback_text""]",0.0
C-345bbc,A-922109,03-08-2024,support,0,TRUE,TRUE,FALSE,too expensive,False,,0.0
C-354790,A-37f969,12-02-2024,pricing,0,FALSE,FALSE,FALSE,missing features,False,,0.0
C-366a49,A-0baac2,24-12-2024,unknown,68.65,FALSE,FALSE,FALSE,switched to competitor,False,,68.65
C-36a955,A-96bbc6,04-12-2024,competitor,0,TRUE,FALSE,FALSE,switched to competitor,False,,0.0
C-36d17e,A-ac85cd,13-12-2024,pricing,102.39,FALSE,FALSE,TRUE,,True,"[""blank_feedback_text""]",102.39
C-370175,A-9779ad,03-08-2024,competitor,0,FALSE,FALSE,FALSE,missing features,False,,0.0
C-370962,A-075038,05-09-2024,features,6.38,FALSE,FALSE,FALSE,,True,"[""blank_feedback_text""]",6.38
C-374d5d,A-c43359,12-12-2024,unknown,0,TRUE,FALSE,FALSE,too expensive,False,,0.0
C-37929d,A-e1b9cd,01-10-2024,unknown,0,FALSE,FALSE,FALSE,switched to competitor,False,,0.0
C-38b77f,A-a8d89d,18-01-2024,features,0,FALSE,FALSE,FALSE,switched to competitor,False,,0.0
C-38ef8e,A-0baac2,30-09-2024,pricing,0,FALSE,FALSE,FALSE,too expensive,False,,0.0
C-3b399f,A-7dacce,08-12-2024,features,0,TRUE,FALSE,FALSE,,True,"[""blank_feedback_text""]",0.0
C-3b4085,A-4f18f0,27-05-2024,features,0,TRUE,FALSE,FALSE,,True,"[""blank_feedback_text""]",0.0
C-3b6b00,A-9289f6,24-08-2023,support,17.93,FALSE,FALSE,FALSE,too expensive,False,,17.93
C-3b7c60,A-0f6450,29-12-2024,competitor,0,FALSE,FALSE,FALSE,missing features,False,,0.0
C-3bac11,A-f5641b,20-04-2024,pricing,0,FALSE,FALSE,FALSE,too expensive,False,,0.0
C-3bf203,A-e19ff6,27-06-2024,competitor,0,FALSE,FALSE,FALSE,switched to competitor,False,,0.0
C-3c8ea9,A-7641d3,10-11-2023,support,35.05,TRUE,FALSE,FALSE,missing features,False,,35.05
C-3db212,A-e40f45,09-11-2024,budget,101.23,FALSE,FALSE,FALSE,missing features,False,,101.23
C-3dbe46,A-76fa4d,26-11-2024,unknown,1.55,FALSE,FALSE,FALSE,too expensive,False,,1.55
C-3e764b,A-d792a6,11-09-2023,competitor,0,FALSE,FALSE,FALSE,too expensive,False,,0.0
C-3efa9b,A-cdf020,07-11-2024,support,0,FALSE,FALSE,TRUE,too expensive,False,,0.0
C-3f2f59,A-a8b49c,17-06-2024,features,0,FALSE,FALSE,FALSE,missing features,False,,0.0
C-42ca6e,A-1b9609,02-02-2024,pricing,0,TRUE,FALSE,FALSE,too expensive,False,,0.0
C-437da0,A-f6b2fb,11-07-2024,support,0,TRUE,FALSE,FALSE,,True,"[""blank_feedback_text""]",0.0
C-44918f,A-9208f0,15-09-2024,unknown,0,TRUE,FALSE,TRUE,too expensive,False,,0.0
C-449318,A-5a184f,23-07-2023,features,0,FALSE,FALSE,FALSE,too expensive,False,,0.0
C-450414,A-87aa7b,26-12-2024,budget,0,TRUE,FALSE,FALSE,switched to competitor,False,,0.0
C-458075,A-4437e4,21-06-2024,features,0,FALSE,FALSE,FALSE,too expensive,False,,0.0
C-462222,A-ae052e,07-10-2023,support,0,FALSE,FALSE,FALSE,too expensive,False,,0.0
C-46580a,A-81edc3,03-03-2024,unknown,0,FALSE,FALSE,FALSE,missing features,False,,0.0
C-466a70,A-ee42db,23-06-2023,pricing,0,TRUE,FALSE,FALSE,too expensive,False,,0.0
C-4691eb,A-7c83a1,19-05-2024,unknown,0,TRUE,FALSE,FALSE,,True,"[""blank_feedback_text""]",0.0
C-474d36,A-6f50ae,26-02-2024,features,0,FALSE,FALSE,TRUE,,True,"[""blank_feedback_text""]",0.0
C-47694c,A-0cc442,23-10-2024,budget,59.52,FALSE,FALSE,FALSE,,True,"[""blank_feedback_text""]",59.52
C-47cdaa,A-9affe6,12-01-2024,features,83.06,FALSE,FALSE,FALSE,missing features,False,,83.06
C-480232,A-31ab9a,23-09-2024,competitor,0,FALSE,FALSE,TRUE,too expensive,False,,0.0
C-481838,A-af0cd2,26-10-2023,unknown,0,FALSE,TRUE,FALSE,switched to competitor,False,,0.0
C-484fba,A-0a282f,31-12-2024,support,62.66,FALSE,TRUE,FALSE,too expensive,False,,62.66
C-486194,A-2ebb4b,29-12-2024,features,0,TRUE,FALSE,TRUE,missing features,False,,0.0
C-488b42,A-1b707d,21-07-2023,competitor,0,FALSE,FALSE,TRUE,missing features,False,,0.0
C-48906a,A-5a92e7,11-11-2024,budget,0,TRUE,FALSE,FALSE,missing features,False,,0.0
C-48c0c8,A-53f4e3,06-12-2024,competitor,0,FALSE,TRUE,TRUE,too expensive,False,,0.0
C-48f456,A-8bde0c,28-11-2024,features,0,FALSE,FALSE,FALSE,missing features,False,,0.0
C-494a16,A-5a184f,11-09-2024,support,0,FALSE,FALSE,FALSE,switched to competitor,False,,0.0
C-49868d,A-309e54,14-12-2024,support,106.67,FALSE,FALSE,FALSE,missing features,False,,106.67
C-499165,A-8ae3fc,10-08-2024,budget,0,FALSE,FALSE,FALSE,,True,"[""blank_feedback_text""]",0.0
C-49de12,A-5c9849,13-11-2024,unknown,0,FALSE,TRUE,FALSE,too expensive,False,,0.0
C-4a3e8e,A-54ecc2,23-11-2024,support,0,TRUE,FALSE,FALSE,,True,"[""blank_feedback_text""]",0.0
C-4ab0e2,A-e7a1e2,08-09-2024,support,0,TRUE,FALSE,FALSE,missing features,False,,0.0
C-4b071b,A-118d55,25-11-2024,unknown,0,TRUE,TRUE,FALSE,missing features,False,,0.0
C-4b854f,A-ef84cf,28-09-2024,pricing,0,TRUE,FALSE,TRUE,too expensive,False,,0.0
C-4bbb74,A-c37cab,16-11-2024,competitor,0,FALSE,FALSE,FALSE,missing features,False,,0.0
C-4c2a9f,A-ff3c73,09-12-2023,competitor,0,TRUE,FALSE,FALSE,missing features,False,,0.0
C-4c523f,A-05d3b3,12-03-2024,unknown,0,FALSE,FALSE,FALSE,switched to competitor,False,,0.0
C-4cdb6f,A-f25509,15-06-2024,pricing,0,FALSE,FALSE,FALSE,missing features,False,,0.0
C-4d517f,A-13466a,18-11-2023,support,0,FALSE,FALSE,FALSE,switched to competitor,False,,0.0
C-4dc992,A-39b19f,11-03-2023,unknown,0,FALSE,FALSE,FALSE,,True,"[""blank_feedback_text""]",0.0
C-4dfeb8,A-56962b,27-07-2024,unknown,45.83,FALSE,FALSE,FALSE,switched to competitor,False,,45.83
C-4f6d90,A-6a7c9d,15-11-2024,features,178.84,FALSE,FALSE,FALSE,missing features,False,,178.84
C-4f6e40,A-cb5333,11-08-2024,features,0,FALSE,FALSE,FALSE,too expensive,False,,0.0
C-4f7342,A-f45426,13-11-2024,pricing,0,FALSE,FALSE,FALSE,switched to competitor,False,,0.0
C-50dbff,A-31ab9a,09-08-2024,budget,0,FALSE,FALSE,FALSE,switched to competitor,False,,0.0
